Supplier ID,Supplier Name,Material Type,Location,Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per unit (INR)
SPLR3446,Supplier_2446,Cement,Kolkata,4.1,776,30,2086.48
SPLR3447,Supplier_2447,Glass,Jaipur,3.8,477,7,581.51
SPLR3448,Supplier_2448,Plumbing Pipes,Hyderabad,3.3,292,20,907.99
SPLR3449,Supplier_2449,Sand,Ahmedabad,4.6,959,25,3580.33
SPLR3450,Supplier_2450,Wood,Pune,3.9,992,30,1646.81
SPLR3451,Supplier_2451,Steel,Chennai,2.6,563,7,999.28
SPLR3452,Supplier_2452,Steel,Delhi,4.9,361,9,2070.76
SPLR3453,Supplier_2453,Tiles,Pune,2.7,399,19,3537.31
SPLR3454,Supplier_2454,Sand,Hyderabad,4.5,891,11,4691.26
SPLR3455,Supplier_2455,Sand,Kolkata,2.7,903,20,3090.56
SPLR3456,Supplier_2456,Tiles,Hyderabad,2.8,644,14,743.95
SPLR3457,Supplier_2457,Concrete,Delhi,3.4,518,10,3621.65
SPLR3458,Supplier_2458,Sand,Kolkata,3.3,189,19,3107.14
SPLR3459,Supplier_2459,Glass,Jaipur,2.8,238,16,3352.66
SPLR3460,Supplier_2460,Tiles,Lucknow,3.0,433,16,591.03
SPLR3461,Supplier_2461,Plumbing Pipes,Delhi,3.7,803,5,4662.25
SPLR3462,Supplier_2462,Plumbing Pipes,Jaipur,4.5,57,26,1197.56
SPLR3463,Supplier_2463,Cement,Chennai,4.2,930,30,665.82
SPLR3464,Supplier_2464,Bricks,Kolkata,4.8,969,16,3191.24
SPLR3465,Supplier_2465,Electrical Wiring,Chennai,2.9,705,27,1649.79
SPLR3466,Supplier_2466,Wood,Pune,4.4,285,2,4968.83
SPLR3467,Supplier_2467,Wood,Pune,2.9,52,12,1574.87
SPLR3468,Supplier_2468,Plumbing Pipes,Ahmedabad,3.6,896,10,3913.98
SPLR3469,Supplier_2469,Cement,Lucknow,4.6,568,9,4972.15
SPLR3470,Supplier_2470,Sand,Kolkata,5.0,395,3,1240.5
SPLR3471,Supplier_2471,Wood,Bangalore,3.5,480,7,2645.06
SPLR3472,Supplier_2472,Bricks,Delhi,3.5,538,23,4095.69
SPLR3473,Supplier_2473,Electrical Wiring,Jaipur,4.4,528,5,1446.31
SPLR3474,Supplier_2474,Cement,Chennai,4.5,162,27,1308.73
SPLR3475,Supplier_2475,Glass,Jaipur,3.0,902,16,4843.01
SPLR3476,Supplier_2476,Bricks,Jaipur,3.3,970,1,1196.54
SPLR3477,Supplier_2477,Glass,Delhi,4.5,330,26,4720.22
SPLR3478,Supplier_2478,Sand,Lucknow,5.0,76,1,2648.89
SPLR3479,Supplier_2479,Tiles,Jaipur,2.9,108,27,2927.42
SPLR3480,Supplier_2480,Concrete,Ahmedabad,3.2,925,25,1057.97
SPLR3481,Supplier_2481,Plumbing Pipes,Hyderabad,2.7,874,13,4625.6
SPLR3482,Supplier_2482,Sand,Jaipur,2.9,100,26,2235.19
SPLR3483,Supplier_2483,Glass,Delhi,4.5,555,18,3034.45
SPLR3484,Supplier_2484,Glass,Hyderabad,3.4,224,19,787.26
SPLR3485,Supplier_2485,Bricks,Mumbai,4.4,951,1,953.97
SPLR3486,Supplier_2486,Glass,Hyderabad,3.8,309,28,1736.06
SPLR3487,Supplier_2487,Electrical Wiring,Pune,3.2,223,14,4121.89
SPLR3488,Supplier_2488,Bricks,Pune,4.9,961,20,4699.15
SPLR3489,Supplier_2489,Wood,Delhi,4.9,974,30,2441.2
SPLR3490,Supplier_2490,Bricks,Mumbai,3.6,170,5,3628.41
SPLR3491,Supplier_2491,Cement,Pune,4.2,205,30,4520.05
SPLR3492,Supplier_2492,Steel,Jaipur,4.3,162,27,4653.15
SPLR3493,Supplier_2493,Cement,Pune,4.6,603,16,683.78
SPLR3494,Supplier_2494,Wood,Kolkata,3.0,565,7,844.04
SPLR3495,Supplier_2495,Tiles,Kolkata,3.0,128,18,2881.21
SPLR3496,Supplier_2496,Glass,Jaipur,3.4,787,28,1739.13
SPLR3497,Supplier_2497,Steel,Delhi,3.7,418,13,2574.13
SPLR3498,Supplier_2498,Wood,Lucknow,2.9,806,24,1043.93
SPLR3499,Supplier_2499,Steel,Hyderabad,3.7,337,21,2848.99
SPLR3500,Supplier_2500,Wood,Ahmedabad,4.6,217,4,3242.08
SPLR3501,Supplier_2501,Steel,Chennai,4.3,92,8,3108.71
SPLR3502,Supplier_2502,Tiles,Kolkata,3.2,529,21,1867.34
SPLR3503,Supplier_2503,Plumbing Pipes,Chennai,4.9,563,24,4237.12
SPLR3504,Supplier_2504,Sand,Delhi,3.8,139,11,3463.58
SPLR3505,Supplier_2505,Steel,Ahmedabad,2.7,141,9,2940.43
SPLR3506,Supplier_2506,Concrete,Mumbai,3.7,642,7,3704.85
SPLR3507,Supplier_2507,Plumbing Pipes,Chennai,4.8,678,1,4428.89
SPLR3508,Supplier_2508,Glass,Ahmedabad,4.2,707,18,4881.19
SPLR3509,Supplier_2509,Electrical Wiring,Mumbai,4.9,528,19,4706.13
SPLR3510,Supplier_2510,Glass,Hyderabad,3.8,656,11,2632.07
SPLR3511,Supplier_2511,Glass,Hyderabad,2.8,354,7,500.32
SPLR3512,Supplier_2512,Plumbing Pipes,Pune,3.0,907,8,2686.24
SPLR3513,Supplier_2513,Bricks,Bangalore,3.5,759,18,3635.79
SPLR3514,Supplier_2514,Sand,Delhi,5.0,635,24,1703.94
SPLR3515,Supplier_2515,Bricks,Mumbai,4.3,68,5,2309.02
SPLR3516,Supplier_2516,Wood,Lucknow,2.8,251,11,3356.0
SPLR3517,Supplier_2517,Bricks,Hyderabad,3.7,304,22,4775.74
SPLR3518,Supplier_2518,Cement,Lucknow,3.5,576,17,3026.56
SPLR3519,Supplier_2519,Plumbing Pipes,Kolkata,2.6,496,3,1631.41
SPLR3520,Supplier_2520,Wood,Delhi,3.9,866,24,3680.33
SPLR3521,Supplier_2521,Bricks,Lucknow,4.3,392,10,1657.36
SPLR3522,Supplier_2522,Electrical Wiring,Hyderabad,4.8,428,15,2349.79
SPLR3523,Supplier_2523,Cement,Jaipur,3.2,570,21,3017.06
SPLR3524,Supplier_2524,Electrical Wiring,Chennai,3.2,428,18,3592.27
SPLR3525,Supplier_2525,Sand,Delhi,2.6,882,8,4182.04
SPLR3526,Supplier_2526,Glass,Hyderabad,3.2,68,6,3666.8
SPLR3527,Supplier_2527,Tiles,Hyderabad,3.5,579,16,3791.72
SPLR3528,Supplier_2528,Steel,Chennai,4.4,958,3,3737.8
SPLR3529,Supplier_2529,Wood,Ahmedabad,4.8,691,27,3481.7
SPLR3530,Supplier_2530,Wood,Delhi,3.3,185,24,3913.51
SPLR3531,Supplier_2531,Cement,Mumbai,3.1,222,21,2169.4
SPLR3532,Supplier_2532,Concrete,Bangalore,3.5,246,3,1251.34
SPLR3533,Supplier_2533,Glass,Jaipur,2.8,730,5,638.12
SPLR3534,Supplier_2534,Electrical Wiring,Mumbai,2.9,999,11,4178.32
SPLR3535,Supplier_2535,Concrete,Kolkata,2.6,334,4,3799.4
SPLR3536,Supplier_2536,Sand,Delhi,4.1,877,22,3044.82
SPLR3537,Supplier_2537,Concrete,Chennai,3.0,232,25,853.07
SPLR3538,Supplier_2538,Bricks,Hyderabad,2.8,612,25,3417.93
SPLR3539,Supplier_2539,Steel,Bangalore,3.8,659,29,2952.57
SPLR3540,Supplier_2540,Glass,Mumbai,2.5,891,24,2291.51
SPLR3541,Supplier_2541,Steel,Bangalore,3.5,768,13,2129.15
SPLR3542,Supplier_2542,Steel,Kolkata,4.3,832,1,2343.54
SPLR3543,Supplier_2543,Electrical Wiring,Lucknow,4.1,601,8,2931.86
SPLR3544,Supplier_2544,Bricks,Jaipur,3.0,61,26,3857.27
SPLR3545,Supplier_2545,Concrete,Pune,4.9,907,25,550.6
SPLR3546,Supplier_2546,Sand,Delhi,2.9,189,6,3434.15
SPLR3547,Supplier_2547,Bricks,Jaipur,3.5,762,24,4913.91
SPLR3548,Supplier_2548,Steel,Mumbai,2.5,601,21,1636.55
SPLR3549,Supplier_2549,Steel,Lucknow,3.3,596,11,4970.43
SPLR3550,Supplier_2550,Plumbing Pipes,Bangalore,3.7,801,13,4470.28
SPLR3551,Supplier_2551,Glass,Lucknow,4.8,949,11,889.86
SPLR3552,Supplier_2552,Steel,Ahmedabad,3.6,708,16,1356.66
SPLR3553,Supplier_2553,Plumbing Pipes,Chennai,3.5,388,2,2437.63
SPLR3554,Supplier_2554,Cement,Hyderabad,3.2,727,11,2077.55
SPLR3555,Supplier_2555,Steel,Jaipur,3.8,122,8,932.26
SPLR3556,Supplier_2556,Wood,Chennai,3.0,686,19,4208.68
SPLR3557,Supplier_2557,Bricks,Lucknow,3.7,613,4,1552.88
SPLR3558,Supplier_2558,Wood,Mumbai,4.1,640,13,3017.6
SPLR3559,Supplier_2559,Glass,Delhi,2.9,139,19,679.79
SPLR3560,Supplier_2560,Glass,Mumbai,3.9,157,21,979.39
SPLR3561,Supplier_2561,Electrical Wiring,Delhi,3.7,864,30,814.22
SPLR3562,Supplier_2562,Concrete,Hyderabad,3.4,864,19,3870.71
SPLR3563,Supplier_2563,Tiles,Delhi,4.4,311,20,2767.66
SPLR3564,Supplier_2564,Plumbing Pipes,Hyderabad,3.3,168,4,2751.39
SPLR3565,Supplier_2565,Tiles,Delhi,4.5,596,12,949.82
SPLR3566,Supplier_2566,Concrete,Ahmedabad,4.5,280,2,2543.43
SPLR3567,Supplier_2567,Glass,Pune,3.8,142,22,4785.28
SPLR3568,Supplier_2568,Tiles,Bangalore,4.4,318,12,3200.5
SPLR3569,Supplier_2569,Bricks,Chennai,4.5,942,16,2052.92
SPLR3570,Supplier_2570,Tiles,Delhi,4.2,934,8,4341.46
SPLR3571,Supplier_2571,Concrete,Kolkata,4.9,86,29,1392.21
SPLR3572,Supplier_2572,Sand,Delhi,4.4,151,18,1992.68
SPLR3573,Supplier_2573,Cement,Kolkata,3.9,145,9,3015.46
SPLR3574,Supplier_2574,Cement,Delhi,4.6,771,3,2374.66
SPLR3575,Supplier_2575,Sand,Mumbai,2.6,526,3,1395.47
SPLR3576,Supplier_2576,Glass,Ahmedabad,3.6,116,18,1212.07
SPLR3577,Supplier_2577,Bricks,Kolkata,3.0,314,9,1153.83
SPLR3578,Supplier_2578,Electrical Wiring,Kolkata,4.2,860,11,4398.49
SPLR3579,Supplier_2579,Tiles,Hyderabad,4.0,577,28,2417.02
SPLR3580,Supplier_2580,Steel,Kolkata,4.8,886,18,4922.45
SPLR3581,Supplier_2581,Plumbing Pipes,Chennai,4.5,662,7,3002.31
SPLR3582,Supplier_2582,Sand,Ahmedabad,2.9,389,14,3749.86
SPLR3583,Supplier_2583,Tiles,Bangalore,2.9,856,7,2789.05
SPLR3584,Supplier_2584,Electrical Wiring,Mumbai,4.7,632,25,2573.06
SPLR3585,Supplier_2585,Glass,Hyderabad,3.3,721,21,1288.8
SPLR3586,Supplier_2586,Sand,Mumbai,4.0,223,10,2810.74
SPLR3587,Supplier_2587,Electrical Wiring,Delhi,4.8,554,10,2827.79
SPLR3588,Supplier_2588,Bricks,Hyderabad,2.6,299,12,2191.36
SPLR3589,Supplier_2589,Steel,Pune,4.4,178,6,1286.45
SPLR3590,Supplier_2590,Wood,Jaipur,3.0,909,23,3500.66
SPLR3591,Supplier_2591,Plumbing Pipes,Ahmedabad,2.5,719,19,1828.54
SPLR3592,Supplier_2592,Bricks,Mumbai,2.9,531,27,1638.24
SPLR3593,Supplier_2593,Electrical Wiring,Hyderabad,3.5,929,24,3313.66
SPLR3594,Supplier_2594,Cement,Lucknow,4.1,770,20,3794.26
SPLR3595,Supplier_2595,Plumbing Pipes,Ahmedabad,3.3,728,6,3972.56
SPLR3596,Supplier_2596,Tiles,Jaipur,3.1,621,20,2965.78
SPLR3597,Supplier_2597,Tiles,Ahmedabad,3.8,534,14,4282.23
SPLR3598,Supplier_2598,Steel,Bangalore,2.9,127,16,2113.41
SPLR3599,Supplier_2599,Steel,Delhi,4.9,336,16,2179.74
SPLR3600,Supplier_2600,Tiles,Hyderabad,3.8,176,18,1365.31
SPLR3601,Supplier_2601,Electrical Wiring,Mumbai,4.8,245,22,3398.92
SPLR3602,Supplier_2602,Wood,Ahmedabad,3.1,979,28,3255.74
SPLR3603,Supplier_2603,Electrical Wiring,Ahmedabad,2.7,170,2,909.87
SPLR3604,Supplier_2604,Cement,Chennai,4.1,896,8,4369.9
SPLR3605,Supplier_2605,Concrete,Jaipur,4.9,301,11,1291.48
SPLR3606,Supplier_2606,Sand,Bangalore,2.7,224,14,4901.64
SPLR3607,Supplier_2607,Glass,Mumbai,3.0,380,7,980.45
SPLR3608,Supplier_2608,Bricks,Jaipur,4.0,687,18,4183.21
SPLR3609,Supplier_2609,Bricks,Lucknow,3.3,949,26,1696.96
SPLR3610,Supplier_2610,Wood,Bangalore,3.2,950,29,612.48
SPLR3611,Supplier_2611,Steel,Ahmedabad,4.9,244,9,1434.73
SPLR3612,Supplier_2612,Tiles,Lucknow,2.5,485,24,4508.13
SPLR3613,Supplier_2613,Glass,Ahmedabad,3.1,362,5,3183.17
SPLR3614,Supplier_2614,Bricks,Jaipur,2.5,688,15,1766.88
SPLR3615,Supplier_2615,Cement,Pune,4.1,267,8,2772.75
SPLR3616,Supplier_2616,Cement,Mumbai,3.5,992,25,4369.44
SPLR3617,Supplier_2617,Wood,Hyderabad,3.4,538,14,4008.26
SPLR3618,Supplier_2618,Steel,Bangalore,4.0,563,22,2203.2
SPLR3619,Supplier_2619,Cement,Jaipur,4.9,994,6,1783.18
SPLR3620,Supplier_2620,Cement,Delhi,4.9,948,15,4998.27
SPLR3621,Supplier_2621,Electrical Wiring,Ahmedabad,2.5,862,23,2832.23
SPLR3622,Supplier_2622,Wood,Hyderabad,2.8,90,7,658.78
SPLR3623,Supplier_2623,Cement,Ahmedabad,4.1,207,22,4672.67
SPLR3624,Supplier_2624,Glass,Jaipur,2.8,699,5,1765.65
SPLR3625,Supplier_2625,Sand,Delhi,3.1,170,18,1010.69
SPLR3626,Supplier_2626,Concrete,Delhi,4.2,799,21,1776.63
SPLR3627,Supplier_2627,Glass,Kolkata,3.0,378,14,836.56
SPLR3628,Supplier_2628,Concrete,Lucknow,3.6,56,28,4127.45
SPLR3629,Supplier_2629,Sand,Jaipur,2.6,562,27,1843.85
SPLR3630,Supplier_2630,Sand,Delhi,2.8,678,30,4208.24
SPLR3631,Supplier_2631,Steel,Bangalore,4.7,937,20,4440.41
SPLR3632,Supplier_2632,Bricks,Mumbai,4.1,984,20,1020.75
SPLR3633,Supplier_2633,Cement,Mumbai,4.8,672,17,1822.32
SPLR3634,Supplier_2634,Cement,Kolkata,4.6,500,16,4171.85
SPLR3635,Supplier_2635,Concrete,Mumbai,3.4,128,18,1180.12
SPLR3636,Supplier_2636,Bricks,Mumbai,3.9,840,4,4326.7
SPLR3637,Supplier_2637,Cement,Jaipur,4.7,120,6,4054.49
SPLR3638,Supplier_2638,Electrical Wiring,Mumbai,4.5,545,5,4809.99
SPLR3639,Supplier_2639,Wood,Pune,4.2,1000,25,2011.45
SPLR3640,Supplier_2640,Electrical Wiring,Mumbai,3.8,326,19,1161.82
SPLR3641,Supplier_2641,Electrical Wiring,Ahmedabad,3.9,907,15,2288.67
SPLR3642,Supplier_2642,Sand,Lucknow,3.4,678,27,2106.28
SPLR3643,Supplier_2643,Glass,Hyderabad,3.9,490,22,4077.98
SPLR3644,Supplier_2644,Steel,Mumbai,3.8,831,11,2112.26
SPLR3645,Supplier_2645,Bricks,Jaipur,4.5,117,5,1620.12
SPLR3646,Supplier_2646,Bricks,Bangalore,4.9,877,24,1404.15
SPLR3647,Supplier_2647,Steel,Lucknow,4.0,834,1,2342.0
SPLR3648,Supplier_2648,Tiles,Kolkata,4.6,488,15,3691.6
SPLR3649,Supplier_2649,Steel,Lucknow,3.7,716,22,4667.37
SPLR3650,Supplier_2650,Sand,Delhi,3.0,861,4,2452.98
SPLR3651,Supplier_2651,Sand,Ahmedabad,3.5,483,14,3110.3
SPLR3652,Supplier_2652,Concrete,Delhi,4.3,623,19,644.05
SPLR3653,Supplier_2653,Tiles,Pune,4.4,913,27,971.78
SPLR3654,Supplier_2654,Tiles,Mumbai,4.6,726,18,4688.38
SPLR3655,Supplier_2655,Concrete,Kolkata,3.5,986,2,2009.77
SPLR3656,Supplier_2656,Plumbing Pipes,Bangalore,3.4,917,2,1704.23
SPLR3657,Supplier_2657,Cement,Ahmedabad,2.5,997,7,4891.71
SPLR3658,Supplier_2658,Glass,Mumbai,3.4,414,21,4627.3
SPLR3659,Supplier_2659,Cement,Chennai,3.8,693,30,4154.56
SPLR3660,Supplier_2660,Electrical Wiring,Lucknow,4.3,138,23,2779.56
SPLR3661,Supplier_2661,Electrical Wiring,Pune,4.2,240,3,3948.62
SPLR3662,Supplier_2662,Glass,Lucknow,3.0,538,6,1652.69
SPLR3663,Supplier_2663,Steel,Chennai,2.9,246,5,537.84
SPLR3664,Supplier_2664,Steel,Jaipur,3.9,713,26,3147.18
SPLR3665,Supplier_2665,Electrical Wiring,Delhi,4.1,530,14,2270.49
SPLR3666,Supplier_2666,Sand,Ahmedabad,4.0,739,18,2535.28
SPLR3667,Supplier_2667,Bricks,Delhi,2.9,904,16,1599.93
SPLR3668,Supplier_2668,Tiles,Lucknow,4.4,543,8,3595.04
SPLR3669,Supplier_2669,Tiles,Hyderabad,4.3,513,9,3448.38
SPLR3670,Supplier_2670,Tiles,Kolkata,3.1,634,29,4821.24
SPLR3671,Supplier_2671,Electrical Wiring,Pune,4.9,696,25,1178.99
SPLR3672,Supplier_2672,Steel,Ahmedabad,4.7,592,14,692.1
SPLR3673,Supplier_2673,Plumbing Pipes,Chennai,3.5,733,18,2695.22
SPLR3674,Supplier_2674,Bricks,Lucknow,2.6,938,8,670.25
SPLR3675,Supplier_2675,Sand,Chennai,4.0,366,15,2885.82
SPLR3676,Supplier_2676,Wood,Chennai,3.9,953,12,2155.62
SPLR3677,Supplier_2677,Plumbing Pipes,Pune,3.1,843,29,630.69
SPLR3678,Supplier_2678,Cement,Chennai,3.4,806,20,2562.52
SPLR3679,Supplier_2679,Tiles,Hyderabad,3.3,849,27,4133.0
SPLR3680,Supplier_2680,Electrical Wiring,Mumbai,4.8,459,20,4578.98
SPLR3681,Supplier_2681,Bricks,Pune,3.6,281,10,3924.71
SPLR3682,Supplier_2682,Steel,Kolkata,4.5,294,15,2677.84
SPLR3683,Supplier_2683,Steel,Mumbai,4.2,50,2,1669.77
SPLR3684,Supplier_2684,Tiles,Chennai,2.9,605,22,2498.96
SPLR3685,Supplier_2685,Wood,Jaipur,3.3,369,2,2787.97
SPLR3686,Supplier_2686,Glass,Kolkata,3.9,186,1,3523.13
SPLR3687,Supplier_2687,Steel,Kolkata,4.2,804,5,3443.99
SPLR3688,Supplier_2688,Bricks,Kolkata,3.5,798,3,3557.79
SPLR3689,Supplier_2689,Wood,Pune,3.2,670,14,3774.45
SPLR3690,Supplier_2690,Concrete,Bangalore,2.5,642,24,2896.9
SPLR3691,Supplier_2691,Tiles,Bangalore,3.6,324,8,4899.67
SPLR3692,Supplier_2692,Concrete,Mumbai,4.8,720,1,2394.84
SPLR3693,Supplier_2693,Wood,Mumbai,3.0,885,26,2638.68
SPLR3694,Supplier_2694,Electrical Wiring,Lucknow,3.8,91,22,4907.56
SPLR3695,Supplier_2695,Steel,Delhi,4.0,715,6,1452.71
SPLR3696,Supplier_2696,Wood,Jaipur,4.4,740,2,1342.44
SPLR3697,Supplier_2697,Sand,Chennai,4.5,807,3,2636.49
SPLR3698,Supplier_2698,Plumbing Pipes,Bangalore,4.8,437,22,1346.25
SPLR3699,Supplier_2699,Plumbing Pipes,Bangalore,3.0,911,4,3020.3
SPLR3700,Supplier_2700,Bricks,Jaipur,4.9,538,14,4863.01
SPLR3701,Supplier_2701,Cement,Mumbai,3.9,596,15,4045.89
SPLR3702,Supplier_2702,Glass,Delhi,4.9,651,10,3198.38
SPLR3703,Supplier_2703,Glass,Kolkata,4.4,841,25,933.27
SPLR3704,Supplier_2704,Plumbing Pipes,Hyderabad,3.0,722,28,1980.08
SPLR3705,Supplier_2705,Cement,Kolkata,4.7,71,7,3270.27
SPLR3706,Supplier_2706,Concrete,Ahmedabad,3.6,308,9,3439.75
SPLR3707,Supplier_2707,Electrical Wiring,Delhi,4.3,281,13,2599.52
SPLR3708,Supplier_2708,Wood,Hyderabad,3.0,933,8,4479.98
SPLR3709,Supplier_2709,Plumbing Pipes,Mumbai,4.3,820,4,4752.49
SPLR3710,Supplier_2710,Cement,Chennai,4.7,58,29,4896.37
SPLR3711,Supplier_2711,Sand,Pune,4.4,425,12,3863.38
SPLR3712,Supplier_2712,Wood,Ahmedabad,3.8,611,14,972.82
SPLR3713,Supplier_2713,Sand,Delhi,2.6,422,4,3859.11
SPLR3714,Supplier_2714,Sand,Lucknow,2.9,382,1,4526.64
SPLR3715,Supplier_2715,Plumbing Pipes,Pune,2.7,161,8,3953.15
SPLR3716,Supplier_2716,Cement,Kolkata,4.0,803,11,4119.18
SPLR3717,Supplier_2717,Glass,Delhi,4.8,684,19,3122.69
SPLR3718,Supplier_2718,Concrete,Chennai,3.2,722,2,3934.71
SPLR3719,Supplier_2719,Tiles,Jaipur,3.1,502,16,2443.26
SPLR3720,Supplier_2720,Steel,Jaipur,2.6,191,7,3831.03
SPLR3721,Supplier_2721,Plumbing Pipes,Chennai,4.1,854,5,4745.78
SPLR3722,Supplier_2722,Electrical Wiring,Jaipur,4.4,97,12,1621.46
SPLR3723,Supplier_2723,Sand,Ahmedabad,3.7,811,3,1689.08
SPLR3724,Supplier_2724,Wood,Kolkata,3.3,617,5,1867.21
SPLR3725,Supplier_2725,Plumbing Pipes,Chennai,4.2,685,14,2979.85
SPLR3726,Supplier_2726,Sand,Delhi,3.1,841,24,2982.95
SPLR3727,Supplier_2727,Tiles,Mumbai,4.7,980,3,920.92
SPLR3728,Supplier_2728,Glass,Hyderabad,4.4,771,29,2421.34
SPLR3729,Supplier_2729,Concrete,Hyderabad,3.4,281,12,1434.03
SPLR3730,Supplier_2730,Concrete,Bangalore,4.8,263,27,4434.81
SPLR3731,Supplier_2731,Bricks,Mumbai,3.9,957,25,2554.2
SPLR3732,Supplier_2732,Steel,Hyderabad,3.2,192,20,3087.99
SPLR3733,Supplier_2733,Steel,Chennai,3.7,126,22,4074.45
SPLR3734,Supplier_2734,Electrical Wiring,Mumbai,4.6,558,4,1197.99
SPLR3735,Supplier_2735,Glass,Delhi,4.5,114,3,3693.41
SPLR3736,Supplier_2736,Glass,Kolkata,4.9,111,22,2367.42
SPLR3737,Supplier_2737,Bricks,Pune,2.9,842,25,630.44
SPLR3738,Supplier_2738,Concrete,Chennai,2.7,794,30,3803.06
SPLR3739,Supplier_2739,Tiles,Chennai,3.6,551,18,588.42
SPLR3740,Supplier_2740,Plumbing Pipes,Kolkata,4.0,68,4,3126.32
SPLR3741,Supplier_2741,Sand,Jaipur,3.4,310,14,654.64
SPLR3742,Supplier_2742,Concrete,Hyderabad,4.9,702,12,4400.34
SPLR3743,Supplier_2743,Glass,Jaipur,3.0,916,30,995.14
SPLR3744,Supplier_2744,Glass,Hyderabad,3.8,93,16,4905.99
SPLR3745,Supplier_2745,Cement,Ahmedabad,4.9,103,12,2303.06
SPLR3746,Supplier_2746,Bricks,Lucknow,2.6,98,2,659.98
SPLR3747,Supplier_2747,Sand,Hyderabad,3.2,984,27,1259.56
SPLR3748,Supplier_2748,Bricks,Pune,4.5,616,11,2180.07
SPLR3749,Supplier_2749,Electrical Wiring,Chennai,2.9,53,2,2777.58
SPLR3750,Supplier_2750,Glass,Bangalore,2.6,130,28,4039.77
SPLR3751,Supplier_2751,Steel,Pune,3.1,466,27,1571.15
SPLR3752,Supplier_2752,Concrete,Lucknow,3.7,962,11,1502.32
SPLR3753,Supplier_2753,Electrical Wiring,Ahmedabad,2.5,293,25,918.45
SPLR3754,Supplier_2754,Glass,Bangalore,2.9,612,30,3535.34
SPLR3755,Supplier_2755,Glass,Chennai,2.9,690,9,4650.62
SPLR3756,Supplier_2756,Tiles,Delhi,4.9,769,2,1164.74
SPLR3757,Supplier_2757,Concrete,Jaipur,4.0,580,1,769.57
SPLR3758,Supplier_2758,Wood,Mumbai,4.1,907,19,4044.57
SPLR3759,Supplier_2759,Steel,Kolkata,3.7,832,15,4423.42
SPLR3760,Supplier_2760,Electrical Wiring,Bangalore,3.1,776,17,3630.77
SPLR3761,Supplier_2761,Wood,Hyderabad,2.8,514,4,2316.48
SPLR3762,Supplier_2762,Wood,Chennai,4.5,676,26,733.15
SPLR3763,Supplier_2763,Concrete,Hyderabad,4.2,706,14,2591.52
SPLR3764,Supplier_2764,Glass,Hyderabad,4.8,915,23,3741.41
SPLR3765,Supplier_2765,Glass,Chennai,3.3,114,1,4636.2
SPLR3766,Supplier_2766,Glass,Lucknow,4.7,814,9,3103.38
SPLR3767,Supplier_2767,Sand,Hyderabad,4.0,716,20,2925.07
SPLR3768,Supplier_2768,Plumbing Pipes,Bangalore,2.7,183,17,2676.35
SPLR3769,Supplier_2769,Cement,Hyderabad,3.6,266,12,4080.09
SPLR3770,Supplier_2770,Sand,Lucknow,4.3,258,27,4800.1
SPLR3771,Supplier_2771,Steel,Lucknow,3.7,930,4,1209.42
SPLR3772,Supplier_2772,Sand,Chennai,2.9,127,28,1988.42
SPLR3773,Supplier_2773,Glass,Pune,3.9,881,7,3919.16
SPLR3774,Supplier_2774,Electrical Wiring,Bangalore,3.9,768,21,2754.55
SPLR3775,Supplier_2775,Steel,Ahmedabad,3.6,800,12,3422.69
SPLR3776,Supplier_2776,Glass,Chennai,4.5,596,21,1844.44
SPLR3777,Supplier_2777,Wood,Pune,4.7,431,27,1069.54
SPLR3778,Supplier_2778,Sand,Ahmedabad,3.0,721,1,1835.33
SPLR3779,Supplier_2779,Electrical Wiring,Mumbai,4.7,267,4,2799.35
SPLR3780,Supplier_2780,Bricks,Delhi,3.5,93,6,4195.7
SPLR3781,Supplier_2781,Concrete,Ahmedabad,4.1,536,19,1238.11
SPLR3782,Supplier_2782,Plumbing Pipes,Ahmedabad,2.8,986,30,2028.0
SPLR3783,Supplier_2783,Steel,Jaipur,2.5,540,24,4008.07
SPLR3784,Supplier_2784,Electrical Wiring,Chennai,3.1,340,9,3826.77
SPLR3785,Supplier_2785,Bricks,Jaipur,4.6,379,3,579.62
SPLR3786,Supplier_2786,Concrete,Hyderabad,4.7,435,15,3831.04
SPLR3787,Supplier_2787,Glass,Mumbai,3.8,595,14,734.7
SPLR3788,Supplier_2788,Wood,Kolkata,3.4,642,12,1816.64
SPLR3789,Supplier_2789,Glass,Jaipur,4.8,477,23,2922.96
SPLR3790,Supplier_2790,Electrical Wiring,Pune,4.7,552,10,1035.75
SPLR3791,Supplier_2791,Electrical Wiring,Chennai,3.3,411,18,3699.68
SPLR3792,Supplier_2792,Sand,Ahmedabad,4.3,678,27,793.95
SPLR3793,Supplier_2793,Cement,Ahmedabad,2.7,441,19,961.8
SPLR3794,Supplier_2794,Concrete,Delhi,3.0,164,9,1889.19
SPLR3795,Supplier_2795,Cement,Pune,2.7,644,30,923.74
SPLR3796,Supplier_2796,Sand,Pune,3.3,472,29,3968.93
SPLR3797,Supplier_2797,Tiles,Delhi,3.9,721,2,1156.28
SPLR3798,Supplier_2798,Sand,Kolkata,3.1,863,30,3995.35
SPLR3799,Supplier_2799,Cement,Delhi,4.3,572,27,4655.37
SPLR3800,Supplier_2800,Steel,Hyderabad,2.7,522,25,3315.6
SPLR3801,Supplier_2801,Electrical Wiring,Lucknow,3.5,219,19,4997.96
