Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_2379,Supplier_50,Cement,Chennai,2,81,2,209.45,159,11
Site_2380,Supplier_92,Bricks,Mumbai,1,318,7,108.57,81,12
Site_2381,Supplier_90,Steel,Kolkata,5,392,3,232.54,181,8
Site_2382,Supplier_20,Bricks,Bangalore,2,346,4,221.51,144,8
Site_2383,Supplier_44,Concrete,Kolkata,2,341,11,421.86,199,1
Site_2384,Supplier_84,Cement,Bangalore,1,361,10,488.5,55,17
Site_2385,Supplier_63,Concrete,Delhi,2,347,13,396.26,27,4
Site_2386,Supplier_10,Sand,Mumbai,2,478,9,321.96,39,1
Site_2387,Supplier_80,Sand,Mumbai,2,205,13,222.68,83,13
Site_2388,Supplier_82,Steel,Delhi,1,327,12,489.57,96,9
Site_2389,Supplier_14,Steel,Delhi,2,299,10,190.69,28,15
Site_2390,Supplier_19,Sand,Delhi,1,461,5,252.64,65,3
Site_2391,Supplier_86,Bricks,Mumbai,5,109,7,154.17,89,15
Site_2392,Supplier_4,Bricks,Delhi,2,460,5,440.46,181,16
Site_2393,Supplier_79,Steel,Kolkata,3,196,7,454.24,60,17
Site_2394,Supplier_76,Concrete,Delhi,4,100,2,136.12,103,2
Site_2395,Supplier_74,Steel,Delhi,5,424,9,177.06,181,17
Site_2396,Supplier_87,Sand,Mumbai,4,142,8,465.89,56,9
Site_2397,Supplier_66,Sand,Mumbai,4,133,1,278.46,62,14
Site_2398,Supplier_83,Cement,Delhi,2,459,5,108.32,61,16
Site_2399,Supplier_19,Bricks,Mumbai,2,496,1,432.02,158,6
Site_2400,Supplier_33,Cement,Bangalore,3,418,3,214.82,67,14
Site_2401,Supplier_45,Cement,Kolkata,1,309,13,464.67,112,0
Site_2402,Supplier_76,Sand,Mumbai,2,250,8,140.73,53,9
Site_2403,Supplier_27,Concrete,Mumbai,5,364,9,423.3,158,10
Site_2404,Supplier_7,Steel,Delhi,5,251,4,319.61,153,18
Site_2405,Supplier_38,Bricks,Bangalore,1,301,1,393.66,135,11
Site_2406,Supplier_13,Concrete,Delhi,1,152,4,332.39,57,1
Site_2407,Supplier_1,Cement,Bangalore,5,100,7,449.13,191,18
Site_2408,Supplier_95,Cement,Delhi,2,354,11,108.04,11,16
Site_2409,Supplier_9,Bricks,Chennai,4,205,1,474.32,27,10
Site_2410,Supplier_53,Steel,Chennai,2,153,10,396.27,182,11
Site_2411,Supplier_88,Bricks,Bangalore,1,172,13,386.22,173,12
Site_2412,Supplier_71,Cement,Chennai,2,109,7,240.75,182,11
Site_2413,Supplier_52,Bricks,Delhi,3,305,10,328.55,98,13
Site_2414,Supplier_85,Bricks,Bangalore,4,208,6,121.2,152,7
Site_2415,Supplier_39,Cement,Delhi,4,495,9,109.03,12,4
Site_2416,Supplier_54,Concrete,Chennai,3,78,2,305.15,130,3
Site_2417,Supplier_7,Concrete,Kolkata,2,425,9,430.26,70,1
Site_2418,Supplier_14,Cement,Mumbai,1,492,5,339.87,119,17
Site_2419,Supplier_53,Bricks,Kolkata,1,499,10,131.93,58,1
Site_2420,Supplier_80,Concrete,Chennai,2,380,5,482.27,86,5
Site_2421,Supplier_29,Sand,Chennai,2,399,6,409.94,90,18
Site_2422,Supplier_71,Sand,Chennai,3,279,10,462.71,81,12
Site_2423,Supplier_27,Bricks,Kolkata,4,221,8,167.45,16,7
Site_2424,Supplier_59,Steel,Delhi,1,153,8,292.62,111,17
Site_2425,Supplier_80,Steel,Kolkata,5,141,2,405.72,182,4
Site_2426,Supplier_78,Concrete,Bangalore,2,485,11,123.73,161,0
Site_2427,Supplier_8,Sand,Chennai,5,113,3,300.05,82,17
Site_2428,Supplier_66,Concrete,Bangalore,4,96,14,237.42,184,12
Site_2429,Supplier_73,Sand,Bangalore,3,450,6,163.77,185,0
Site_2430,Supplier_23,Concrete,Bangalore,3,129,14,149.74,99,12
Site_2431,Supplier_5,Sand,Mumbai,3,222,4,272.14,149,4
Site_2432,Supplier_49,Cement,Mumbai,4,416,7,245.32,141,1
Site_2433,Supplier_40,Concrete,Bangalore,3,162,4,334.64,44,17
Site_2434,Supplier_53,Bricks,Bangalore,4,89,1,131.99,57,19
Site_2435,Supplier_25,Bricks,Delhi,2,382,5,397.49,27,10
Site_2436,Supplier_90,Bricks,Bangalore,1,194,6,478.18,34,19
Site_2437,Supplier_15,Bricks,Delhi,2,184,3,271.86,107,6
Site_2438,Supplier_54,Steel,Delhi,2,440,1,161.56,33,2
Site_2439,Supplier_6,Steel,Delhi,5,353,12,492.45,101,7
Site_2440,Supplier_68,Cement,Kolkata,1,73,10,216.24,137,13
Site_2441,Supplier_74,Bricks,Bangalore,4,139,2,223.3,46,5
Site_2442,Supplier_2,Cement,Bangalore,3,113,13,474.17,41,16
Site_2443,Supplier_13,Concrete,Mumbai,1,269,4,239.54,169,12
Site_2444,Supplier_99,Sand,Mumbai,5,449,2,423.39,145,14
Site_2445,Supplier_56,Cement,Chennai,5,381,1,214.37,94,17
Site_2446,Supplier_87,Cement,Kolkata,4,278,11,220.03,158,14
Site_2447,Supplier_76,Steel,Mumbai,1,414,4,216.74,49,13
Site_2448,Supplier_91,Steel,Delhi,4,140,10,255.73,123,18
Site_2449,Supplier_86,Cement,Kolkata,5,166,12,466.1,175,18
Site_2450,Supplier_41,Cement,Bangalore,5,357,1,240.11,101,2
Site_2451,Supplier_5,Bricks,Delhi,5,396,3,463.63,88,13
Site_2452,Supplier_55,Sand,Chennai,4,151,7,400.74,14,7
Site_2453,Supplier_16,Steel,Bangalore,5,468,2,176.59,141,3
Site_2454,Supplier_42,Bricks,Bangalore,1,445,8,328.38,199,12
Site_2455,Supplier_35,Sand,Chennai,1,263,7,326.75,163,16
Site_2456,Supplier_2,Steel,Delhi,4,498,10,471.87,61,15
Site_2457,Supplier_31,Cement,Bangalore,3,134,7,376.35,100,16
Site_2458,Supplier_83,Cement,Mumbai,2,403,14,444.99,70,9
Site_2459,Supplier_3,Bricks,Chennai,1,270,7,447.14,115,15
Site_2460,Supplier_7,Cement,Delhi,5,180,4,368.64,118,1
Site_2461,Supplier_3,Bricks,Delhi,1,106,11,383.82,177,11
Site_2462,Supplier_89,Sand,Kolkata,3,153,7,256.91,188,3
Site_2463,Supplier_1,Bricks,Chennai,1,354,1,410.9,93,11
Site_2464,Supplier_19,Concrete,Kolkata,2,296,10,396.35,117,8
Site_2465,Supplier_87,Sand,Delhi,4,213,5,451.39,42,6
Site_2466,Supplier_99,Concrete,Delhi,4,272,11,442.23,84,2
Site_2467,Supplier_35,Steel,Delhi,2,436,3,370.55,122,13
Site_2468,Supplier_76,Bricks,Bangalore,1,129,11,328.64,70,7
Site_2469,Supplier_40,Concrete,Chennai,5,68,8,426.07,108,13
Site_2470,Supplier_84,Concrete,Mumbai,2,367,14,312.25,13,7
Site_2471,Supplier_51,Bricks,Mumbai,3,304,4,319.09,41,12
Site_2472,Supplier_15,Concrete,Delhi,2,207,12,231.75,27,17
Site_2473,Supplier_11,Bricks,Bangalore,4,53,9,372.25,117,14
Site_2474,Supplier_1,Cement,Kolkata,1,99,10,219.71,40,8
Site_2475,Supplier_89,Sand,Delhi,5,416,12,262.56,131,3
Site_2476,Supplier_15,Bricks,Kolkata,3,194,5,482.9,129,11
Site_2477,Supplier_24,Bricks,Kolkata,1,198,12,104.06,105,12
Site_2478,Supplier_16,Steel,Delhi,3,403,14,106.67,37,16
Site_2479,Supplier_42,Concrete,Kolkata,4,382,1,393.42,46,19
Site_2480,Supplier_63,Steel,Mumbai,5,208,9,144.36,115,13
Site_2481,Supplier_99,Steel,Delhi,2,445,8,304.51,47,18
Site_2482,Supplier_80,Steel,Delhi,2,292,4,136.88,186,9
Site_2483,Supplier_2,Concrete,Kolkata,3,296,5,243.9,155,14
Site_2484,Supplier_5,Cement,Delhi,1,430,8,184.63,39,15
Site_2485,Supplier_46,Concrete,Bangalore,1,451,13,304.54,161,8
Site_2486,Supplier_86,Cement,Bangalore,5,235,7,240.83,195,5
Site_2487,Supplier_51,Sand,Kolkata,4,344,14,121.73,144,10
Site_2488,Supplier_82,Steel,Delhi,3,319,10,445.86,50,5
Site_2489,Supplier_57,Sand,Bangalore,3,274,3,157.46,133,16
Site_2490,Supplier_58,Cement,Bangalore,1,50,5,158.13,169,6
Site_2491,Supplier_93,Steel,Mumbai,5,206,1,122.6,199,13
Site_2492,Supplier_9,Sand,Delhi,5,180,8,390.55,192,7
Site_2493,Supplier_36,Steel,Bangalore,3,396,3,317.2,57,19
Site_2494,Supplier_59,Cement,Bangalore,4,55,11,365.14,125,3
Site_2495,Supplier_2,Sand,Kolkata,4,319,7,256.02,33,15
Site_2496,Supplier_33,Bricks,Bangalore,5,302,5,258.57,49,14
Site_2497,Supplier_48,Sand,Delhi,5,417,10,462.61,153,12
Site_2498,Supplier_38,Bricks,Kolkata,5,107,1,112.38,155,12
Site_2499,Supplier_91,Cement,Delhi,1,283,9,480.71,91,5
Site_2500,Supplier_33,Concrete,Mumbai,5,304,6,498.65,56,8
Site_2501,Supplier_80,Sand,Kolkata,5,71,14,432.86,56,1
Site_2502,Supplier_21,Cement,Kolkata,5,413,11,466.48,32,1
Site_2503,Supplier_56,Cement,Kolkata,1,60,7,114.77,107,15
Site_2504,Supplier_74,Cement,Delhi,1,455,13,184.04,54,11
Site_2505,Supplier_66,Concrete,Bangalore,1,436,2,331.05,167,2
Site_2506,Supplier_43,Steel,Delhi,4,259,3,134.25,84,12
Site_2507,Supplier_36,Bricks,Chennai,2,434,9,203.58,181,2
Site_2508,Supplier_86,Cement,Chennai,1,193,10,206.7,74,13
Site_2509,Supplier_57,Steel,Mumbai,1,73,7,214.37,31,16
Site_2510,Supplier_7,Cement,Bangalore,2,314,13,133.69,38,12
Site_2511,Supplier_57,Steel,Kolkata,3,74,13,364.12,43,6
Site_2512,Supplier_51,Bricks,Kolkata,1,122,1,164.67,194,12
Site_2513,Supplier_20,Bricks,Delhi,4,288,5,199.07,13,8
Site_2514,Supplier_61,Steel,Delhi,5,184,10,270.21,53,15
Site_2515,Supplier_37,Cement,Bangalore,2,198,2,108.15,190,12
Site_2516,Supplier_76,Bricks,Mumbai,2,50,13,164.59,100,12
Site_2517,Supplier_18,Sand,Bangalore,3,102,5,445.82,160,12
Site_2518,Supplier_53,Cement,Kolkata,3,251,14,328.92,103,12
Site_2519,Supplier_1,Concrete,Kolkata,2,378,1,247.94,107,7
Site_2520,Supplier_29,Sand,Chennai,5,130,7,196.05,55,7
Site_2521,Supplier_89,Sand,Mumbai,5,412,10,486.32,26,11
Site_2522,Supplier_10,Sand,Kolkata,2,218,4,219.47,103,6
Site_2523,Supplier_10,Concrete,Kolkata,5,191,8,417.72,184,14
Site_2524,Supplier_12,Steel,Kolkata,4,103,13,111.95,157,8
Site_2525,Supplier_22,Cement,Kolkata,4,111,9,120.39,15,12
Site_2526,Supplier_13,Concrete,Bangalore,1,62,8,269.53,92,1
Site_2527,Supplier_69,Steel,Kolkata,3,217,3,190.01,130,16
Site_2528,Supplier_23,Sand,Delhi,3,438,11,349.22,123,4
Site_2529,Supplier_74,Cement,Kolkata,4,66,9,254.41,77,9
Site_2530,Supplier_41,Sand,Bangalore,2,389,2,246.27,172,6
Site_2531,Supplier_58,Cement,Bangalore,1,386,11,461.92,199,15
Site_2532,Supplier_85,Bricks,Kolkata,5,434,4,181.43,147,14
Site_2533,Supplier_12,Cement,Mumbai,4,290,12,201.04,140,4
Site_2534,Supplier_83,Concrete,Delhi,5,446,13,143.57,113,11
Site_2535,Supplier_59,Concrete,Bangalore,3,84,1,386.58,131,0
Site_2536,Supplier_81,Cement,Mumbai,2,183,10,283.36,59,16
Site_2537,Supplier_73,Sand,Kolkata,1,80,11,471.47,124,4
Site_2538,Supplier_39,Cement,Kolkata,4,434,7,476.94,135,10
Site_2539,Supplier_59,Concrete,Delhi,5,313,14,271.16,145,12
Site_2540,Supplier_48,Bricks,Delhi,4,483,9,337.18,65,7
Site_2541,Supplier_88,Steel,Bangalore,2,252,11,294.84,97,14
Site_2542,Supplier_54,Concrete,Kolkata,5,401,7,349.65,41,7
Site_2543,Supplier_70,Concrete,Bangalore,2,482,11,235.76,47,15
Site_2544,Supplier_88,Cement,Kolkata,5,418,2,265.97,177,1
Site_2545,Supplier_49,Sand,Kolkata,4,170,12,331.42,14,14
Site_2546,Supplier_44,Steel,Mumbai,1,225,6,205.83,89,8
Site_2547,Supplier_40,Steel,Delhi,2,474,13,441.81,66,3
Site_2548,Supplier_6,Concrete,Delhi,4,197,14,396.7,141,0
Site_2549,Supplier_30,Sand,Bangalore,1,253,5,256.42,144,0
Site_2550,Supplier_33,Steel,Kolkata,5,279,11,101.09,168,2
Site_2551,Supplier_19,Sand,Kolkata,3,175,11,475.46,193,4
Site_2552,Supplier_61,Sand,Bangalore,2,102,4,488.86,108,5
Site_2553,Supplier_27,Sand,Delhi,4,370,10,233.35,43,18
Site_2554,Supplier_20,Concrete,Chennai,4,471,4,159.52,127,17
Site_2555,Supplier_38,Concrete,Chennai,2,313,8,245.8,194,10
Site_2556,Supplier_8,Cement,Kolkata,5,411,14,360.46,82,8
Site_2557,Supplier_26,Cement,Delhi,5,395,14,295.3,92,5
Site_2558,Supplier_22,Sand,Delhi,1,426,2,126.45,79,4
Site_2559,Supplier_68,Sand,Bangalore,3,463,12,468.26,139,15
Site_2560,Supplier_27,Sand,Delhi,1,96,9,311.78,61,19
Site_2561,Supplier_95,Steel,Delhi,1,452,11,460.38,126,4
Site_2562,Supplier_39,Bricks,Chennai,3,392,4,141.47,170,17
Site_2563,Supplier_15,Bricks,Bangalore,2,231,10,469.24,75,6
Site_2564,Supplier_52,Steel,Delhi,3,93,5,314.69,185,3
Site_2565,Supplier_15,Steel,Bangalore,5,291,7,305.93,57,4
Site_2566,Supplier_36,Bricks,Chennai,2,376,10,385.7,146,15
Site_2567,Supplier_23,Steel,Chennai,2,179,2,151.01,40,3
Site_2568,Supplier_89,Sand,Bangalore,2,332,4,344.02,151,18
Site_2569,Supplier_3,Concrete,Mumbai,3,302,14,492.33,168,16
Site_2570,Supplier_85,Sand,Delhi,4,406,14,346.16,131,12
Site_2571,Supplier_46,Steel,Mumbai,5,227,3,378.71,38,12
Site_2572,Supplier_24,Bricks,Bangalore,1,393,9,267.81,114,0
Site_2573,Supplier_11,Cement,Chennai,5,473,3,347.75,75,11
Site_2574,Supplier_56,Steel,Kolkata,4,262,9,484.22,75,2
Site_2575,Supplier_18,Cement,Bangalore,4,91,10,342.88,18,8
Site_2576,Supplier_90,Concrete,Chennai,1,315,8,464.33,162,1
Site_2577,Supplier_99,Concrete,Bangalore,3,266,7,492.32,154,0
Site_2578,Supplier_25,Cement,Chennai,5,499,3,128.14,87,17
Site_2579,Supplier_56,Steel,Kolkata,5,358,14,492.75,179,16
Site_2580,Supplier_83,Steel,Mumbai,2,362,13,267.81,74,17
Site_2581,Supplier_87,Sand,Delhi,1,63,7,423.43,135,1
Site_2582,Supplier_6,Concrete,Kolkata,2,175,8,396.06,26,13
Site_2583,Supplier_76,Concrete,Mumbai,1,484,8,168.87,19,5
Site_2584,Supplier_41,Steel,Mumbai,5,267,3,420.05,121,12
Site_2585,Supplier_3,Cement,Bangalore,4,257,1,211.73,123,16
Site_2586,Supplier_94,Concrete,Chennai,5,213,14,157.07,144,13
Site_2587,Supplier_43,Cement,Kolkata,1,88,9,217.68,153,13
Site_2588,Supplier_45,Concrete,Bangalore,5,114,13,154.71,137,11
Site_2589,Supplier_40,Sand,Bangalore,5,227,3,288.49,181,17
Site_2590,Supplier_48,Bricks,Bangalore,4,268,10,123.69,36,7
Site_2591,Supplier_23,Concrete,Delhi,4,309,14,322.52,132,15
Site_2592,Supplier_25,Sand,Mumbai,5,294,14,418.56,134,11
Site_2593,Supplier_59,Bricks,Kolkata,2,222,6,198.4,16,5
Site_2594,Supplier_8,Sand,Kolkata,3,355,5,197.95,31,9
Site_2595,Supplier_85,Sand,Mumbai,3,96,4,339.05,63,19
Site_2596,Supplier_17,Cement,Mumbai,1,446,14,469.84,193,5
Site_2597,Supplier_1,Steel,Mumbai,1,315,11,359.85,39,14
Site_2598,Supplier_93,Steel,Delhi,5,63,13,244.21,28,6
Site_2599,Supplier_21,Steel,Mumbai,3,458,11,392.8,129,3
Site_2600,Supplier_37,Steel,Chennai,1,326,12,313.1,192,16
Site_2601,Supplier_15,Sand,Chennai,4,200,14,349.23,52,7
Site_2602,Supplier_48,Concrete,Delhi,4,449,14,128.37,114,7
Site_2603,Supplier_73,Cement,Mumbai,4,59,4,435.25,91,2
Site_2604,Supplier_81,Concrete,Mumbai,2,348,1,114.24,18,13
Site_2605,Supplier_17,Cement,Kolkata,3,53,3,198.57,161,2
Site_2606,Supplier_53,Concrete,Chennai,3,235,5,277.3,109,11
Site_2607,Supplier_31,Sand,Chennai,3,231,10,107.96,138,12
Site_2608,Supplier_58,Cement,Kolkata,3,354,4,244.72,49,3
Site_2609,Supplier_67,Steel,Kolkata,3,66,10,215.7,135,15
Site_2610,Supplier_21,Sand,Kolkata,5,469,9,406.85,142,1
Site_2611,Supplier_49,Bricks,Chennai,3,416,2,285.95,24,6
Site_2612,Supplier_25,Sand,Chennai,4,390,4,214.13,62,8
Site_2613,Supplier_17,Cement,Mumbai,3,356,4,473.43,17,6
Site_2614,Supplier_49,Sand,Mumbai,5,473,1,302.69,168,5
Site_2615,Supplier_55,Concrete,Kolkata,2,148,13,421.91,166,13
Site_2616,Supplier_1,Concrete,Bangalore,1,124,6,239.39,167,4
Site_2617,Supplier_60,Bricks,Mumbai,1,130,9,149.52,70,12
Site_2618,Supplier_76,Concrete,Bangalore,1,300,10,415.59,39,0
Site_2619,Supplier_2,Cement,Bangalore,3,365,13,426.31,93,15
Site_2620,Supplier_83,Cement,Delhi,1,316,1,135.11,169,7
Site_2621,Supplier_5,Concrete,Chennai,4,366,4,174.75,16,17
Site_2622,Supplier_17,Steel,Mumbai,1,230,3,263.15,27,6
Site_2623,Supplier_40,Steel,Delhi,1,327,1,358.84,93,7
Site_2624,Supplier_70,Concrete,Delhi,5,329,8,228.72,170,14
Site_2625,Supplier_36,Sand,Kolkata,4,482,14,429.1,157,8
Site_2626,Supplier_40,Cement,Mumbai,5,413,9,261.88,151,19
Site_2627,Supplier_60,Steel,Kolkata,1,165,3,168.66,61,11
Site_2628,Supplier_4,Bricks,Mumbai,2,491,6,458.75,56,19
Site_2629,Supplier_61,Bricks,Kolkata,1,373,9,302.79,57,6
Site_2630,Supplier_51,Bricks,Delhi,2,325,8,255.47,81,17
Site_2631,Supplier_19,Sand,Mumbai,2,378,2,190.93,183,1
Site_2632,Supplier_21,Concrete,Chennai,2,394,13,383.97,59,13
Site_2633,Supplier_67,Sand,Kolkata,1,59,8,416.57,99,13
Site_2634,Supplier_34,Concrete,Bangalore,4,332,4,306.29,144,2
Site_2635,Supplier_49,Sand,Delhi,4,148,3,480.61,173,11
Site_2636,Supplier_34,Cement,Chennai,5,379,6,358.87,42,16
Site_2637,Supplier_41,Steel,Mumbai,1,180,5,217.57,140,12
Site_2638,Supplier_82,Concrete,Kolkata,1,155,2,332.25,32,1
Site_2639,Supplier_20,Cement,Chennai,2,278,6,372.46,117,0
Site_2640,Supplier_86,Concrete,Mumbai,4,92,14,395.86,125,17
Site_2641,Supplier_99,Steel,Mumbai,4,451,6,217.65,138,13
Site_2642,Supplier_75,Sand,Mumbai,2,345,5,459.45,129,6
Site_2643,Supplier_29,Cement,Kolkata,5,104,14,249.14,90,3
Site_2644,Supplier_63,Steel,Delhi,2,134,7,428.3,32,0
Site_2645,Supplier_69,Sand,Delhi,5,220,3,431.25,141,6
Site_2646,Supplier_45,Cement,Kolkata,1,181,11,208.66,176,19
Site_2647,Supplier_68,Cement,Mumbai,2,344,7,258.11,47,12
Site_2648,Supplier_37,Bricks,Kolkata,2,398,9,201.49,101,6
Site_2649,Supplier_23,Sand,Mumbai,2,481,14,304.38,74,2
Site_2650,Supplier_65,Bricks,Mumbai,3,453,13,470.23,158,17
Site_2651,Supplier_38,Sand,Delhi,2,96,1,393.39,121,19
Site_2652,Supplier_90,Sand,Kolkata,4,200,4,321.54,179,9
Site_2653,Supplier_93,Steel,Chennai,4,407,6,484.37,47,5
Site_2654,Supplier_29,Sand,Bangalore,4,372,10,461.97,69,13
Site_2655,Supplier_12,Concrete,Bangalore,2,71,4,492.23,44,18
Site_2656,Supplier_35,Sand,Chennai,4,368,8,284.14,180,19
Site_2657,Supplier_94,Concrete,Mumbai,4,119,9,434.21,65,16
Site_2658,Supplier_27,Steel,Delhi,2,141,6,226.22,160,3
Site_2659,Supplier_80,Sand,Bangalore,5,309,14,259.51,68,0
Site_2660,Supplier_35,Steel,Delhi,1,171,3,402.84,30,3
Site_2661,Supplier_54,Sand,Kolkata,2,415,11,215.61,70,3
Site_2662,Supplier_31,Cement,Mumbai,1,270,3,119.26,141,5
Site_2663,Supplier_92,Cement,Mumbai,5,482,7,214.72,146,18
Site_2664,Supplier_5,Sand,Delhi,4,51,11,363.2,179,13
Site_2665,Supplier_74,Steel,Chennai,3,282,8,184.53,173,12
Site_2666,Supplier_50,Sand,Mumbai,4,287,9,323.45,10,15
Site_2667,Supplier_42,Steel,Kolkata,5,188,6,122.96,153,13
Site_2668,Supplier_27,Cement,Bangalore,5,146,6,409.91,149,1
Site_2669,Supplier_16,Cement,Chennai,1,208,6,369.68,15,10
Site_2670,Supplier_59,Cement,Chennai,4,70,14,279.69,149,15
Site_2671,Supplier_94,Concrete,Delhi,2,280,5,357.06,56,12
Site_2672,Supplier_76,Cement,Kolkata,5,424,8,169.26,62,15
Site_2673,Supplier_63,Concrete,Chennai,2,424,2,258.88,187,8
Site_2674,Supplier_34,Sand,Mumbai,5,173,7,181.19,153,4
Site_2675,Supplier_31,Bricks,Mumbai,3,392,3,398.6,162,17
Site_2676,Supplier_84,Cement,Delhi,4,104,11,154.19,60,19
Site_2677,Supplier_68,Cement,Chennai,4,251,1,259.42,192,11
Site_2678,Supplier_68,Steel,Bangalore,3,453,7,395.11,40,14
Site_2679,Supplier_13,Cement,Mumbai,3,182,7,228.7,157,5
Site_2680,Supplier_41,Bricks,Chennai,4,413,9,359.81,194,8
Site_2681,Supplier_42,Cement,Chennai,2,162,10,441.12,147,19
Site_2682,Supplier_49,Steel,Kolkata,5,129,10,396.56,22,18
Site_2683,Supplier_79,Cement,Kolkata,5,85,2,280.21,107,5
Site_2684,Supplier_58,Bricks,Bangalore,4,328,1,226.57,70,11
Site_2685,Supplier_67,Bricks,Bangalore,5,402,1,234.75,98,5
Site_2686,Supplier_16,Concrete,Bangalore,3,132,8,240.16,146,3
Site_2687,Supplier_98,Cement,Delhi,2,94,8,333.45,134,12
Site_2688,Supplier_31,Cement,Delhi,5,129,12,220.57,55,15
Site_2689,Supplier_63,Cement,Chennai,2,134,1,477.77,166,11
Site_2690,Supplier_63,Concrete,Kolkata,3,427,2,243.07,189,12
Site_2691,Supplier_47,Concrete,Mumbai,2,442,12,225.26,199,0
Site_2692,Supplier_24,Sand,Kolkata,4,241,4,191.27,83,6
Site_2693,Supplier_66,Steel,Mumbai,4,318,11,242.2,29,17
Site_2694,Supplier_59,Steel,Mumbai,3,333,1,100.48,171,12
Site_2695,Supplier_98,Sand,Bangalore,1,328,9,341.85,179,15
Site_2696,Supplier_37,Steel,Mumbai,4,413,6,494.57,138,14
Site_2697,Supplier_31,Concrete,Delhi,1,450,10,112.0,112,13
Site_2698,Supplier_61,Concrete,Mumbai,2,145,2,482.38,153,16
Site_2699,Supplier_54,Sand,Mumbai,5,320,10,329.18,194,9
Site_2700,Supplier_11,Sand,Kolkata,1,249,10,119.86,128,15
Site_2701,Supplier_55,Bricks,Kolkata,4,109,4,148.68,160,12
Site_2702,Supplier_40,Bricks,Mumbai,2,337,4,348.8,172,16
Site_2703,Supplier_92,Bricks,Kolkata,4,320,3,289.55,197,13
Site_2704,Supplier_54,Sand,Kolkata,1,137,11,427.66,161,12
Site_2705,Supplier_28,Cement,Kolkata,5,256,8,468.81,91,1
Site_2706,Supplier_20,Concrete,Mumbai,5,453,1,290.75,133,7
Site_2707,Supplier_42,Concrete,Mumbai,3,158,5,470.72,136,1
Site_2708,Supplier_56,Sand,Mumbai,4,95,6,393.64,82,16
Site_2709,Supplier_37,Bricks,Bangalore,4,232,10,304.6,71,8
Site_2710,Supplier_83,Sand,Bangalore,2,50,3,455.07,81,10
Site_2711,Supplier_39,Concrete,Delhi,5,125,1,185.79,98,18
Site_2712,Supplier_71,Concrete,Chennai,2,332,2,289.5,12,7
Site_2713,Supplier_37,Bricks,Delhi,2,53,1,395.76,157,9
Site_2714,Supplier_13,Steel,Chennai,5,360,11,280.73,19,14
Site_2715,Supplier_36,Cement,Delhi,4,88,6,305.44,84,0
Site_2716,Supplier_8,Cement,Mumbai,3,271,4,327.76,196,12
Site_2717,Supplier_35,Cement,Delhi,1,387,2,445.68,132,3
Site_2718,Supplier_52,Concrete,Chennai,3,391,9,372.38,129,1
Site_2719,Supplier_90,Steel,Bangalore,2,280,2,467.45,41,11
Site_2720,Supplier_34,Bricks,Mumbai,4,259,5,465.76,117,19
Site_2721,Supplier_38,Sand,Bangalore,2,314,10,405.86,90,14
Site_2722,Supplier_22,Cement,Chennai,1,382,8,264.24,139,1
Site_2723,Supplier_64,Sand,Delhi,2,143,1,450.66,196,5
Site_2724,Supplier_36,Cement,Bangalore,4,488,3,160.04,103,19
Site_2725,Supplier_43,Concrete,Bangalore,2,331,14,264.9,125,2
Site_2726,Supplier_65,Concrete,Kolkata,3,237,11,174.79,66,13
Site_2727,Supplier_33,Concrete,Chennai,3,257,8,142.61,186,18
Site_2728,Supplier_15,Cement,Chennai,4,227,11,135.16,193,15
Site_2729,Supplier_66,Cement,Mumbai,3,420,1,178.9,68,15
Site_2730,Supplier_15,Cement,Kolkata,4,352,8,161.7,82,13
Site_2731,Supplier_17,Concrete,Kolkata,2,401,4,159.3,156,3
Site_2732,Supplier_64,Cement,Chennai,3,303,8,126.13,181,7
Site_2733,Supplier_68,Cement,Delhi,2,154,1,293.68,37,15
Site_2734,Supplier_26,Cement,Mumbai,3,158,1,469.95,117,18
Site_2735,Supplier_58,Bricks,Delhi,4,497,13,132.25,81,17
Site_2736,Supplier_58,Cement,Mumbai,3,331,13,462.48,25,19
Site_2737,Supplier_24,Concrete,Bangalore,5,458,7,403.74,136,18
Site_2738,Supplier_20,Steel,Chennai,2,361,7,481.72,125,16
Site_2739,Supplier_73,Cement,Delhi,3,210,3,415.47,153,0
Site_2740,Supplier_30,Cement,Chennai,1,240,4,213.16,43,14
Site_2741,Supplier_67,Steel,Kolkata,2,440,14,306.59,41,5
Site_2742,Supplier_33,Sand,Delhi,5,65,7,463.09,22,18
Site_2743,Supplier_31,Sand,Delhi,5,266,10,231.47,48,14
Site_2744,Supplier_25,Cement,Mumbai,3,342,4,406.05,40,2
Site_2745,Supplier_89,Bricks,Chennai,2,375,2,142.93,57,18
Site_2746,Supplier_3,Steel,Kolkata,4,80,8,243.81,81,11
Site_2747,Supplier_83,Concrete,Delhi,5,180,9,466.06,178,7
Site_2748,Supplier_65,Concrete,Kolkata,2,190,8,468.62,133,2
Site_2749,Supplier_63,Bricks,Bangalore,3,408,12,318.68,26,12
Site_2750,Supplier_67,Sand,Chennai,1,145,3,123.19,166,11
Site_2751,Supplier_82,Cement,Kolkata,2,159,4,313.14,70,12
Site_2752,Supplier_69,Sand,Bangalore,4,458,7,364.85,142,17
Site_2753,Supplier_50,Concrete,Kolkata,1,200,10,355.82,186,3
Site_2754,Supplier_43,Concrete,Delhi,4,164,7,457.94,158,4
