Project ID,City,Tunnel Length (km),Num of Stations,Num of Workers,Equipment Factor (%),Signal System Complexity (%),Material Factor (%),Gov Regulation Factor (%),Urban Congestion Impact (%),Expected Completion Time (months),Budget (in Crores),Delay time (days),Risk Level
METRO-1749,Bangalore,8.21,45,2651,49,24,20,46,81,24,1401.8,19,Medium
METRO-1750,Chennai,38.51,40,1111,50,63,71,30,50,69,3103.97,224,Medium
METRO-1751,Mumbai,37.47,43,4266,3,50,61,96,96,102,592.85,295,Medium
METRO-1752,Delhi,45.26,91,2408,43,31,61,92,72,30,898.77,314,Medium
METRO-1753,Bangalore,1.42,97,4891,17,94,72,82,24,69,2385.01,251,Medium
METRO-1754,Mumbai,11.62,34,960,17,41,24,26,79,50,673.01,281,Low
METRO-1755,Mumbai,41.53,90,1534,91,86,48,58,89,41,2056.55,272,High
METRO-1756,Bangalore,33.86,61,1539,5,16,11,81,17,93,3378.29,198,Low
METRO-1757,Chennai,44.83,15,3516,58,33,17,3,55,47,4169.42,356,Low
METRO-1758,Kolkata,3.8,94,4053,62,68,36,86,60,49,2459.35,249,Medium
METRO-1759,Mumbai,30.25,91,4678,42,46,26,7,9,31,2684.16,314,Low
METRO-1760,Hyderabad,28.88,7,1561,68,41,18,23,21,63,527.32,271,Low
METRO-1761,Mumbai,2.75,52,261,74,93,37,4,52,94,4398.98,136,Medium
METRO-1762,Kolkata,26.16,10,738,68,49,50,47,25,57,4928.49,286,Medium
METRO-1763,Chennai,30.87,11,1157,8,52,50,74,50,117,2529.66,199,Medium
METRO-1764,Chennai,10.37,48,1553,22,93,60,13,28,82,1866.02,218,Medium
METRO-1765,Hyderabad,14.39,65,4926,10,13,68,10,83,108,1291.5,228,Low
METRO-1766,Mumbai,32.38,58,2884,60,88,30,76,94,99,3761.36,280,Medium
METRO-1767,Chennai,23.95,55,3467,78,66,10,21,88,38,2350.86,233,Medium
METRO-1768,Kolkata,43.04,90,4367,88,19,73,13,24,107,2022.71,359,Medium
METRO-1769,Bangalore,17.78,52,3335,16,60,11,19,21,35,3157.13,349,Low
METRO-1770,Delhi,14.07,65,4394,49,22,70,0,76,29,4151.03,158,Low
METRO-1771,Delhi,49.26,44,2197,52,22,47,20,56,64,3689.4,168,Low
METRO-1772,Delhi,45.65,7,1565,89,20,97,50,75,51,4150.03,94,Medium
METRO-1773,Mumbai,2.42,34,4525,13,43,27,88,75,48,2889.55,54,Medium
METRO-1774,Hyderabad,38.77,28,4489,38,4,15,91,59,28,3091.05,264,Medium
METRO-1775,Chennai,6.41,71,2427,54,51,20,95,23,47,559.11,66,Medium
METRO-1776,Bangalore,2.35,6,4559,8,72,27,55,3,52,2437.57,8,Low
METRO-1777,Kolkata,14.41,48,4141,62,38,43,99,20,52,4114.49,65,Medium
METRO-1778,Bangalore,14.2,44,2718,26,21,81,35,55,35,3293.27,69,Medium
METRO-1779,Kolkata,41.15,23,4349,34,82,25,1,66,31,3611.91,263,Low
METRO-1780,Mumbai,35.82,67,1854,90,68,48,39,61,74,1169.59,264,Medium
METRO-1781,Delhi,49.1,28,797,79,67,43,28,55,70,4613.72,105,Medium
METRO-1782,Mumbai,35.86,54,4057,59,20,31,47,78,69,3871.15,143,Medium
METRO-1783,Hyderabad,21.49,24,4467,85,81,38,15,12,25,4538.53,333,Medium
METRO-1784,Hyderabad,35.25,61,2590,29,4,41,90,38,71,1797.84,171,Medium
METRO-1785,Kolkata,49.97,54,612,89,60,60,72,39,73,3129.64,5,Medium
METRO-1786,Chennai,35.8,99,908,38,76,73,4,81,54,4116.27,75,Medium
METRO-1787,Chennai,38.32,62,1138,51,89,0,56,0,89,2370.93,154,Medium
METRO-1788,Kolkata,46.98,35,643,96,79,27,12,75,72,2029.91,268,Medium
METRO-1789,Hyderabad,6.57,41,3876,57,10,48,88,9,104,2322.9,97,Medium
METRO-1790,Hyderabad,35.53,97,2401,64,66,63,4,77,108,3366.33,219,Medium
METRO-1791,Hyderabad,42.69,8,4941,75,67,0,8,42,64,2161.7,279,Low
METRO-1792,Mumbai,47.76,62,809,80,8,35,48,95,35,1490.16,100,Medium
METRO-1793,Hyderabad,11.34,14,1413,88,93,22,18,68,26,2781.86,208,Medium
METRO-1794,Bangalore,25.69,67,4501,28,50,55,4,40,90,807.97,237,Low
METRO-1795,Delhi,34.35,40,4367,57,59,13,95,55,48,4571.83,109,Medium
METRO-1796,Hyderabad,13.13,59,4523,41,44,71,7,75,47,4698.06,44,Medium
METRO-1797,Kolkata,30.42,61,4348,27,59,35,18,74,63,4929.0,82,Low
METRO-1798,Delhi,13.62,89,2855,82,57,59,2,98,54,3905.73,79,Medium
METRO-1799,Mumbai,17.34,47,4802,9,75,63,22,83,26,4111.12,116,Medium
METRO-1800,Kolkata,22.63,69,1872,10,53,50,42,46,33,4274.64,11,Low
METRO-1801,Delhi,26.93,16,1539,73,48,6,9,39,115,1279.65,147,Low
METRO-1802,Kolkata,23.02,66,4506,59,12,57,83,55,87,1424.13,198,Medium
METRO-1803,Mumbai,25.17,28,3415,29,20,73,20,5,45,4190.11,32,Low
METRO-1804,Bangalore,15.63,6,508,48,20,92,18,75,40,2376.52,51,Medium
METRO-1805,Mumbai,8.79,51,4914,70,26,16,77,34,64,4063.21,287,Medium
METRO-1806,Mumbai,3.32,60,4822,68,68,20,65,71,75,1150.45,217,Medium
METRO-1807,Kolkata,10.6,88,4433,59,80,75,95,81,27,719.75,355,High
METRO-1808,Chennai,29.52,20,2553,27,54,51,25,39,75,2288.27,98,Low
METRO-1809,Hyderabad,39.52,38,1682,19,84,90,36,79,41,1721.52,289,Medium
METRO-1810,Hyderabad,9.29,81,1321,95,64,0,39,9,109,4152.67,29,Medium
METRO-1811,Bangalore,6.32,22,662,58,15,12,91,78,74,4626.83,318,Medium
METRO-1812,Bangalore,37.72,33,3877,11,21,51,23,7,28,3441.81,19,Low
METRO-1813,Hyderabad,15.95,58,4282,4,86,58,17,78,78,974.57,161,Medium
METRO-1814,Chennai,47.62,55,1855,29,19,51,16,61,103,568.33,251,Low
METRO-1815,Hyderabad,36.0,18,2937,32,48,92,42,67,99,4003.71,132,Medium
METRO-1816,Chennai,17.01,98,844,9,71,49,36,94,65,4421.82,122,Medium
METRO-1817,Bangalore,15.19,62,469,38,45,57,18,59,57,4765.18,120,Medium
METRO-1818,Delhi,26.66,39,2191,90,48,39,76,72,64,3729.22,11,Medium
METRO-1819,Kolkata,4.88,13,1420,75,93,72,19,37,92,643.26,98,Medium
METRO-1820,Bangalore,6.77,41,565,65,65,45,80,56,26,2654.71,76,Medium
METRO-1821,Bangalore,9.62,16,3593,93,61,4,26,78,55,2705.14,333,Medium
METRO-1822,Mumbai,38.96,89,572,59,62,99,3,50,67,692.59,323,Medium
METRO-1823,Mumbai,26.18,86,1396,40,31,99,30,55,83,4598.92,57,Medium
METRO-1824,Mumbai,1.52,15,4368,68,82,77,59,62,88,3937.41,28,Medium
METRO-1825,Kolkata,34.0,31,335,36,12,23,89,24,25,1423.56,267,Medium
METRO-1826,Mumbai,21.76,92,3563,77,41,81,36,59,68,3434.66,337,Medium
METRO-1827,Chennai,26.03,47,1778,89,87,51,64,64,31,4157.49,165,High
METRO-1828,Hyderabad,11.49,54,4428,7,9,51,11,90,81,4343.49,145,Low
METRO-1829,Delhi,28.04,24,365,94,46,76,41,40,74,4405.63,179,Medium
METRO-1830,Bangalore,48.98,17,2504,56,68,32,79,63,79,4030.91,53,Medium
METRO-1831,Chennai,4.6,51,238,66,90,52,97,89,90,3286.06,291,High
METRO-1832,Delhi,14.91,12,4742,27,59,11,87,10,111,887.75,159,Medium
METRO-1833,Chennai,12.91,73,1465,13,60,20,40,43,47,1675.22,81,Low
METRO-1834,Chennai,13.18,75,2052,10,57,30,23,49,46,2898.05,285,Low
METRO-1835,Bangalore,19.56,68,172,28,24,31,36,43,45,2153.92,152,Low
METRO-1836,Hyderabad,41.09,48,262,53,70,52,42,84,89,3700.44,291,Medium
METRO-1837,Mumbai,45.73,16,322,75,61,97,67,47,36,1032.42,78,High
METRO-1838,Kolkata,10.91,8,284,8,60,12,7,30,32,4745.26,102,Low
METRO-1839,Hyderabad,27.6,44,194,35,44,28,79,98,46,2025.61,3,Medium
METRO-1840,Kolkata,32.21,23,3972,18,26,93,8,32,48,2828.99,58,Low
METRO-1841,Bangalore,26.57,58,783,6,51,93,87,20,109,2007.99,124,Medium
METRO-1842,Bangalore,22.27,5,3480,16,58,8,38,91,70,4093.37,156,Low
METRO-1843,Bangalore,10.41,17,1075,47,84,69,0,60,82,1193.15,333,Medium
METRO-1844,Delhi,24.92,54,3319,50,42,46,2,6,107,2095.69,298,Low
METRO-1845,Kolkata,20.66,57,3793,86,27,3,8,27,75,3268.41,174,Low
METRO-1846,Hyderabad,39.98,46,2644,75,20,78,47,28,64,706.48,161,Medium
METRO-1847,Hyderabad,38.42,29,3332,70,33,74,52,49,40,3248.09,240,Medium
METRO-1848,Chennai,7.57,48,160,88,84,30,46,1,63,3632.88,341,Medium
METRO-1849,Chennai,5.34,65,1560,77,46,61,99,10,51,4777.18,159,Medium
METRO-1850,Chennai,45.5,85,581,57,26,27,46,2,64,4888.77,114,Low
METRO-1851,Bangalore,27.24,94,4310,94,14,37,62,9,102,1675.71,42,Medium
METRO-1852,Hyderabad,43.03,25,4178,88,4,47,10,23,101,3510.03,348,Low
METRO-1853,Kolkata,3.85,55,4749,74,63,35,48,85,96,876.57,198,Medium
METRO-1854,Bangalore,26.8,80,3751,74,16,51,40,73,29,3747.0,210,Medium
METRO-1855,Delhi,27.43,84,1274,6,7,73,54,22,45,1999.35,147,Low
METRO-1856,Chennai,43.17,56,2695,61,56,93,2,44,24,1456.56,62,Medium
METRO-1857,Bangalore,5.78,67,4335,66,56,14,97,66,119,580.65,225,Medium
METRO-1858,Bangalore,12.78,88,3906,14,47,0,98,65,112,2866.15,112,Medium
METRO-1859,Delhi,20.92,58,589,66,87,75,79,20,50,1306.44,67,Medium
METRO-1860,Mumbai,43.43,14,2030,52,17,52,13,71,38,3108.86,233,Low
METRO-1861,Hyderabad,47.01,91,996,40,41,93,99,47,67,2799.62,49,Medium
METRO-1862,Kolkata,49.64,98,4400,16,68,68,66,16,54,3283.99,104,Medium
METRO-1863,Mumbai,48.0,63,2442,56,53,88,5,16,92,1599.35,75,Medium
METRO-1864,Chennai,1.29,12,3008,43,15,59,15,83,83,1030.82,229,Low
METRO-1865,Bangalore,3.34,55,2818,70,84,23,51,55,67,4023.01,347,Medium
METRO-1866,Delhi,8.23,9,3355,74,75,86,31,69,64,4960.75,238,Medium
METRO-1867,Delhi,18.09,80,117,63,16,30,33,86,102,2208.99,248,Medium
METRO-1868,Hyderabad,41.67,46,4006,19,43,44,95,57,79,2242.99,251,Medium
METRO-1869,Mumbai,44.74,82,4816,0,32,26,96,71,86,4396.26,159,Medium
METRO-1870,Hyderabad,10.15,16,4838,95,10,18,76,97,52,1283.8,122,Medium
METRO-1871,Bangalore,31.36,28,4176,84,39,11,91,92,37,2055.79,95,Medium
METRO-1872,Hyderabad,45.95,49,641,30,36,86,17,53,107,1754.43,224,Medium
METRO-1873,Kolkata,23.72,57,297,16,74,49,52,51,116,1068.93,348,Medium
METRO-1874,Delhi,6.07,57,1365,88,27,81,36,80,30,2946.45,86,Medium
METRO-1875,Delhi,23.43,21,4983,40,29,11,87,43,26,3321.17,151,Medium
METRO-1876,Chennai,19.41,69,1076,96,45,20,0,25,97,4453.48,311,Low
METRO-1877,Chennai,29.31,62,708,75,77,56,28,64,76,3418.06,282,Medium
METRO-1878,Bangalore,22.49,41,564,27,42,18,90,68,110,726.41,106,Medium
METRO-1879,Kolkata,1.85,79,1127,48,84,16,13,18,48,719.74,70,Low
METRO-1880,Mumbai,49.71,46,1361,89,95,58,23,12,55,765.23,279,Medium
METRO-1881,Hyderabad,27.63,74,2699,99,90,38,78,93,78,1638.59,226,High
METRO-1882,Bangalore,24.21,83,3056,54,97,72,73,56,39,1628.45,241,High
METRO-1883,Chennai,47.78,44,2129,7,7,53,23,32,99,3991.42,224,Low
METRO-1884,Hyderabad,8.64,27,3500,31,42,61,15,54,42,721.87,208,Low
METRO-1885,Chennai,10.27,27,1917,50,32,5,94,21,95,3245.27,359,Medium
METRO-1886,Hyderabad,40.59,53,340,89,54,19,28,67,65,3184.07,266,Medium
METRO-1887,Mumbai,13.78,80,2956,68,57,7,8,25,25,2806.97,261,Low
METRO-1888,Bangalore,40.16,11,3981,37,20,17,35,86,29,603.38,225,Low
METRO-1889,Hyderabad,14.31,41,1861,76,46,85,74,83,49,4213.47,133,High
METRO-1890,Kolkata,2.63,20,1282,18,50,57,18,37,116,2200.34,37,Low
METRO-1891,Delhi,26.33,42,2190,5,28,54,15,2,91,2517.19,50,Low
METRO-1892,Kolkata,10.64,44,2040,44,15,81,8,43,65,3515.6,126,Low
METRO-1893,Kolkata,38.13,33,3022,69,67,20,43,64,73,3485.71,68,Medium
METRO-1894,Delhi,32.42,21,512,15,88,19,52,27,57,1743.58,61,Medium
METRO-1895,Kolkata,46.26,94,3323,53,68,64,90,76,86,551.45,137,High
METRO-1896,Hyderabad,39.37,24,1203,92,18,29,97,13,114,4124.29,303,Medium
METRO-1897,Hyderabad,9.86,29,3308,81,38,21,74,45,27,3903.63,200,Medium
METRO-1898,Hyderabad,40.21,64,1509,31,69,8,82,24,56,3385.2,251,Medium
METRO-1899,Delhi,32.45,42,264,28,29,52,71,13,81,4706.99,220,Medium
METRO-1900,Kolkata,33.78,67,4904,51,27,92,42,61,116,1419.79,70,Medium
METRO-1901,Delhi,41.78,43,4969,80,62,81,83,98,77,966.18,187,High
METRO-1902,Hyderabad,29.12,68,1171,68,12,91,40,45,48,4994.93,63,Medium
METRO-1903,Kolkata,23.83,87,1250,95,66,72,10,96,49,4407.87,82,Medium
METRO-1904,Kolkata,32.2,25,467,28,63,5,12,8,96,687.13,80,Low
METRO-1905,Chennai,15.6,36,2654,92,57,85,80,50,114,1986.18,18,High
METRO-1906,Chennai,9.95,32,712,2,98,37,42,5,56,2829.82,210,Low
METRO-1907,Mumbai,31.21,16,176,50,67,65,42,2,94,3327.05,160,Medium
METRO-1908,Bangalore,12.46,83,2854,67,9,6,86,37,119,2374.03,233,Medium
METRO-1909,Chennai,4.92,96,3372,43,50,95,53,40,104,894.13,282,Medium
METRO-1910,Delhi,1.03,89,4263,24,69,31,49,2,89,2628.52,279,Low
METRO-1911,Chennai,30.81,84,1151,21,0,87,11,78,89,2960.53,231,Low
METRO-1912,Mumbai,18.75,27,3083,41,0,46,72,44,51,1916.08,53,Medium
METRO-1913,Kolkata,37.86,94,2204,74,6,71,90,27,106,1214.17,105,Medium
METRO-1914,Mumbai,19.38,19,1326,7,79,30,88,56,46,2831.01,329,Medium
METRO-1915,Kolkata,24.81,16,4762,90,87,36,86,55,27,1749.8,281,High
METRO-1916,Kolkata,20.95,8,3254,43,3,53,54,35,113,1575.85,80,Low
METRO-1917,Bangalore,32.88,39,1374,52,15,19,38,64,102,3757.17,7,Low
METRO-1918,Chennai,18.45,99,2489,85,70,71,8,94,66,3017.8,24,Medium
METRO-1919,Delhi,48.22,65,4634,66,24,70,88,77,32,3844.31,78,Medium
METRO-1920,Delhi,46.87,31,971,26,14,28,88,94,56,2516.05,53,Medium
METRO-1921,Hyderabad,42.55,37,2061,10,8,33,9,58,36,848.6,122,Low
METRO-1922,Kolkata,46.09,17,2280,26,10,21,14,84,94,2716.25,2,Low
METRO-1923,Delhi,23.01,41,4040,6,70,69,36,94,30,3178.81,48,Medium
METRO-1924,Bangalore,27.29,48,2576,90,52,75,50,0,73,3995.21,53,Medium
METRO-1925,Kolkata,37.36,6,1667,74,38,53,2,89,63,3123.16,230,Medium
METRO-1926,Bangalore,35.11,42,2415,56,86,41,23,63,76,4081.01,323,Medium
METRO-1927,Delhi,44.64,41,2254,88,2,45,87,78,104,2807.13,149,Medium
METRO-1928,Delhi,36.1,63,4261,38,70,27,8,66,113,3253.95,167,Low
METRO-1929,Hyderabad,49.9,73,1175,50,2,89,32,13,61,601.47,108,Low
METRO-1930,Delhi,18.08,22,2135,79,11,72,13,27,58,4376.69,338,Low
METRO-1931,Kolkata,41.82,52,489,20,2,48,2,6,68,1244.87,88,Low
METRO-1932,Kolkata,35.18,85,4924,89,70,26,55,51,27,3826.05,260,Medium
METRO-1933,Kolkata,34.88,70,2834,90,22,38,69,45,103,2501.51,145,Medium
METRO-1934,Hyderabad,16.97,53,3056,56,37,91,79,50,82,4515.02,197,Medium
METRO-1935,Hyderabad,39.49,62,3962,50,78,95,34,94,73,1869.82,242,Medium
METRO-1936,Delhi,45.12,39,3664,16,86,97,16,99,87,4874.04,272,Medium
METRO-1937,Mumbai,11.71,82,4177,30,41,55,68,51,119,3811.2,187,Medium
METRO-1938,Mumbai,31.65,80,2668,13,4,95,61,45,111,3265.65,293,Medium
METRO-1939,Hyderabad,20.21,62,461,86,40,73,85,7,43,4733.99,178,Medium
METRO-1940,Delhi,49.49,11,158,1,52,34,15,49,31,2929.38,329,Low
METRO-1941,Mumbai,24.46,13,4680,89,61,17,12,52,62,2135.89,99,Medium
METRO-1942,Delhi,12.19,73,1224,25,92,36,11,42,90,3627.57,294,Low
METRO-1943,Delhi,19.71,8,1880,21,82,23,73,72,95,1598.55,90,Medium
METRO-1944,Delhi,33.04,36,439,27,23,23,9,32,37,2851.6,164,Low
METRO-1945,Chennai,4.73,9,4681,5,86,29,51,30,107,4524.73,127,Medium
METRO-1946,Kolkata,30.58,60,2836,18,27,26,77,37,44,2481.03,359,Low
METRO-1947,Delhi,46.63,60,1139,55,80,29,96,29,60,2409.79,360,Medium
METRO-1948,Chennai,42.67,48,220,20,8,3,38,39,90,2017.38,158,Low
METRO-1949,Hyderabad,4.32,76,3913,41,60,26,40,64,96,3454.88,59,Medium
METRO-1950,Mumbai,49.68,17,844,19,52,66,27,35,49,1700.66,343,Low
METRO-1951,Kolkata,35.24,8,4581,94,16,5,85,61,106,4133.5,360,Medium
METRO-1952,Mumbai,8.95,56,4643,90,64,6,81,44,104,3343.25,214,Medium
METRO-1953,Kolkata,1.61,79,3051,78,8,84,78,75,55,4811.17,267,Medium
METRO-1954,Mumbai,9.39,19,4054,43,69,70,16,23,26,4651.84,242,Medium
METRO-1955,Kolkata,42.07,86,1122,30,14,1,1,23,79,1931.47,79,Low
METRO-1956,Mumbai,2.06,88,3461,8,5,72,72,93,47,4203.52,318,Medium
METRO-1957,Mumbai,12.42,5,1875,49,17,66,76,52,99,738.49,131,Medium
METRO-1958,Mumbai,38.11,69,2008,80,87,14,84,35,83,1963.93,320,Medium
METRO-1959,Mumbai,29.72,15,3132,82,93,48,77,30,39,3972.0,278,Medium
METRO-1960,Hyderabad,39.35,97,2755,31,82,34,14,46,100,830.76,186,Low
METRO-1961,Delhi,37.56,65,687,73,57,84,65,90,48,3183.43,148,High
METRO-1962,Bangalore,3.48,97,2130,39,91,16,90,6,117,3913.61,289,Medium
METRO-1963,Chennai,44.73,92,482,51,22,69,33,50,87,3684.29,230,Medium
METRO-1964,Bangalore,12.12,88,789,68,87,14,84,94,62,3989.45,341,Medium
METRO-1965,Bangalore,28.12,98,303,76,26,11,36,27,100,1237.58,184,Low
METRO-1966,Kolkata,32.57,67,4181,26,76,32,47,64,119,1928.66,335,Medium
METRO-1967,Delhi,9.26,42,4221,1,74,9,12,24,71,3913.7,17,Low
METRO-1968,Kolkata,48.84,73,1976,0,14,69,41,8,91,3142.58,243,Low
METRO-1969,Delhi,24.92,49,1800,7,29,41,6,36,71,891.16,25,Low
METRO-1970,Delhi,3.82,78,1690,9,5,32,34,78,28,4655.7,188,Low
METRO-1971,Mumbai,46.93,74,967,91,24,12,87,99,114,1266.96,232,Medium
METRO-1972,Hyderabad,29.73,72,4469,68,30,65,60,36,97,3163.73,93,Medium
METRO-1973,Mumbai,35.26,8,2164,65,10,17,54,87,84,1434.9,151,Medium
METRO-1974,Hyderabad,26.73,75,1587,40,67,80,64,17,75,4178.26,172,Medium
METRO-1975,Kolkata,41.9,52,2445,47,78,97,84,59,107,3119.26,294,High
METRO-1976,Hyderabad,2.62,13,2740,80,23,7,83,30,78,2349.04,296,Medium
METRO-1977,Kolkata,14.15,94,1150,47,13,55,18,26,27,3805.94,24,Low
METRO-1978,Bangalore,24.01,51,2143,32,23,92,20,17,97,2076.45,85,Low
METRO-1979,Bangalore,4.75,89,4378,88,86,5,60,79,88,508.44,104,Medium
METRO-1980,Hyderabad,35.59,64,3687,68,68,78,17,70,90,902.39,281,Medium
METRO-1981,Hyderabad,20.29,56,3503,91,25,94,88,35,108,768.93,214,Medium
METRO-1982,Kolkata,14.36,90,1707,50,93,44,19,17,63,1488.53,89,Medium
METRO-1983,Mumbai,1.17,37,4615,63,41,29,61,70,34,4596.16,209,Medium
METRO-1984,Kolkata,36.27,62,4999,81,47,83,30,37,112,1347.42,35,Medium
METRO-1985,Mumbai,41.86,52,4634,22,50,25,20,46,93,3130.6,312,Low
METRO-1986,Bangalore,20.36,9,1120,51,66,19,47,64,43,4036.71,272,Medium
METRO-1987,Delhi,28.65,89,622,98,17,55,79,35,43,3824.57,123,Medium
METRO-1988,Hyderabad,12.16,31,670,81,85,23,6,45,63,1973.51,246,Medium
METRO-1989,Mumbai,31.49,45,4909,74,27,59,40,86,57,2642.04,351,Medium
METRO-1990,Kolkata,1.59,5,3439,42,29,39,31,44,30,842.42,230,Low
METRO-1991,Bangalore,24.94,55,4308,73,1,47,6,6,70,941.72,214,Low
METRO-1992,Mumbai,32.57,20,2552,9,72,15,39,4,71,1611.04,170,Low
METRO-1993,Kolkata,45.99,36,3573,99,64,57,75,89,52,1174.89,49,High
METRO-1994,Hyderabad,19.69,97,3285,72,35,67,51,75,70,804.64,210,Medium
METRO-1995,Hyderabad,38.49,51,946,76,20,97,97,67,25,1668.26,178,High
METRO-1996,Chennai,30.29,27,3492,86,61,66,57,20,27,2906.42,192,Medium
METRO-1997,Delhi,46.42,19,1434,0,53,66,81,48,104,1447.41,16,Medium
METRO-1998,Chennai,20.52,30,2997,15,27,62,76,39,78,1765.02,125,Medium
METRO-1999,Bangalore,16.64,41,2011,18,99,37,0,75,44,4205.67,233,Medium
METRO-2000,Mumbai,44.47,93,399,75,31,64,55,41,90,3879.7,58,Medium
METRO-2001,Bangalore,3.41,59,1185,4,57,11,33,71,64,638.38,28,Low
METRO-2002,Kolkata,7.68,6,183,54,69,82,64,30,73,861.19,230,Medium
METRO-2003,Hyderabad,5.04,80,4156,61,22,98,88,23,49,4676.93,195,Medium
METRO-2004,Chennai,42.31,23,1476,4,69,68,53,24,44,2126.72,4,Medium
METRO-2005,Chennai,1.52,36,1792,6,63,42,8,51,43,605.57,181,Low
METRO-2006,Chennai,43.22,91,3674,77,85,50,59,34,75,2256.32,312,Medium
METRO-2007,Bangalore,23.11,73,1023,32,30,38,20,67,70,3939.94,105,Low
METRO-2008,Hyderabad,1.2,59,1598,5,18,73,70,68,115,4560.66,93,Medium
METRO-2009,Mumbai,20.68,93,2126,81,71,9,82,68,94,3652.93,293,Medium
METRO-2010,Kolkata,10.15,60,4698,5,7,35,94,15,46,1727.56,268,Low
METRO-2011,Mumbai,31.6,33,3970,50,83,98,32,94,40,4940.91,130,Medium
METRO-2012,Bangalore,34.29,88,4889,93,63,88,27,79,54,1183.14,264,Medium
METRO-2013,Kolkata,24.89,40,2246,11,87,48,49,41,95,2158.18,55,Medium
METRO-2014,Chennai,2.99,75,1825,98,76,50,20,52,64,2102.32,72,Medium
METRO-2015,Delhi,33.15,90,2910,74,40,57,54,45,31,2713.63,98,Medium
METRO-2016,Bangalore,42.26,86,2394,3,50,94,37,41,100,1020.95,98,Medium
METRO-2017,Bangalore,36.3,57,2412,76,6,99,2,17,46,3261.11,4,Low
METRO-2018,Hyderabad,41.67,89,1692,0,51,82,84,16,102,3371.81,119,Medium
METRO-2019,Mumbai,10.82,90,524,51,71,6,10,3,112,2539.43,7,Low
METRO-2020,Bangalore,44.56,43,4990,52,90,8,52,32,108,942.14,16,Medium
METRO-2021,Bangalore,16.79,80,2471,92,2,88,90,70,51,3924.94,101,Medium
METRO-2022,Chennai,1.66,15,2939,13,16,22,34,26,94,4676.54,115,Low
METRO-2023,Chennai,42.33,80,161,20,4,76,84,27,74,2085.52,56,Medium
METRO-2024,Kolkata,47.15,94,3658,30,59,62,30,74,112,1564.38,137,Medium
METRO-2025,Delhi,33.12,34,1884,40,72,41,7,49,97,4791.56,38,Low
METRO-2026,Hyderabad,12.34,83,3016,56,69,10,31,49,76,1125.09,82,Medium
METRO-2027,Delhi,13.34,76,3544,6,7,98,22,79,64,2657.82,98,Low
METRO-2028,Kolkata,23.86,57,614,60,43,87,2,81,50,3623.34,82,Medium
METRO-2029,Chennai,44.99,86,4943,14,25,33,9,82,105,695.95,268,Low
METRO-2030,Mumbai,8.33,78,4812,8,47,44,56,13,70,4145.71,42,Low
METRO-2031,Chennai,41.47,12,198,92,83,78,22,75,117,3513.88,238,Medium
METRO-2032,Hyderabad,15.27,24,422,59,25,10,38,92,118,3859.57,301,Medium
METRO-2033,Chennai,40.62,16,2739,55,57,51,68,28,38,1444.04,216,Medium
METRO-2034,Hyderabad,46.09,71,4350,87,66,82,42,50,102,1713.7,88,Medium
METRO-2035,Hyderabad,21.95,88,4737,14,57,59,39,65,27,4978.6,219,Medium
METRO-2036,Hyderabad,18.89,54,3782,84,24,47,66,21,59,2117.89,30,Medium
METRO-2037,Kolkata,40.31,16,4341,87,14,27,37,14,29,609.84,153,Low
METRO-2038,Hyderabad,26.94,58,3073,6,10,56,48,50,45,2094.17,176,Low
METRO-2039,Hyderabad,34.54,92,1597,23,95,37,43,19,91,2213.45,15,Medium
METRO-2040,Mumbai,31.52,84,2849,56,95,13,3,54,83,4478.97,156,Medium
METRO-2041,Delhi,8.49,58,4984,86,5,70,55,43,110,1751.1,9,Medium
METRO-2042,Bangalore,42.39,78,2031,63,1,31,10,65,118,4070.68,324,Low
METRO-2043,Delhi,10.59,23,4452,24,22,55,10,82,49,992.74,52,Low
METRO-2044,Hyderabad,46.68,18,538,71,92,0,58,36,34,2798.47,136,Medium
METRO-2045,Mumbai,13.28,56,636,33,6,60,47,28,108,2331.39,149,Low
METRO-2046,Chennai,36.96,82,2322,98,61,85,18,82,101,1970.29,20,Medium
METRO-2047,Mumbai,14.95,26,812,53,29,96,3,82,114,3992.72,175,Medium
METRO-2048,Hyderabad,16.57,8,2638,85,79,47,95,28,73,3209.25,348,High
METRO-2049,Mumbai,16.19,63,4414,33,0,11,30,40,97,4778.67,126,Low
METRO-2050,Mumbai,37.65,38,4252,27,76,28,35,11,31,2123.39,142,Low
METRO-2051,Hyderabad,28.28,68,4938,0,35,32,50,89,91,1049.68,324,Low
METRO-2052,Kolkata,44.26,22,2866,36,0,32,81,44,68,1565.76,124,Medium
METRO-2053,Mumbai,16.06,86,1089,29,21,21,49,50,94,3574.22,330,Low
METRO-2054,Bangalore,34.91,35,4167,24,92,69,54,89,116,3453.92,195,Medium
METRO-2055,Bangalore,37.89,88,401,59,61,94,96,10,68,3335.75,59,Medium
METRO-2056,Mumbai,8.42,46,1112,1,79,83,2,82,112,3734.74,76,Medium
METRO-2057,Kolkata,20.63,78,3750,27,43,79,69,66,88,977.35,215,Medium
METRO-2058,Chennai,24.66,7,346,47,8,32,9,56,39,1797.79,334,Low
METRO-2059,Hyderabad,18.43,89,2163,27,88,10,82,36,69,3085.77,364,Medium
METRO-2060,Bangalore,16.78,59,1458,86,37,33,0,41,26,2461.45,52,Low
METRO-2061,Chennai,34.63,14,4406,23,21,54,44,99,83,2783.36,98,Medium
METRO-2062,Mumbai,11.58,75,1709,98,40,91,98,22,66,1457.84,291,High
