Supplier_ID,Supplier_Name,Location,Material_Type,Lead_Time (days),Historical_Delay (days),Quality_Rating (1-5),Avg_Cost_per_Unit (INR),Financial_Stability_Score,Past_Contract_Failures,Alternative_Suppliers,Climate_Risk,Delivery_Mode,Reliability_Score (0-1),Geo_Proximity (km),Inventory_Buffer_Level
S3239,Supplier_3239,Hyderabad,Steel,9,10,4.0,9311,7.8,2,"S5441, S4827",Medium,Rail,0.89,100,Medium
S3240,Supplier_3240,Hyderabad,Wood,29,7,4.0,2705,9.3,1,"S6082, S12480",Medium,Rail,0.89,42,Medium
S3241,Supplier_3241,Mumbai,Wood,20,5,3.6,3554,5.2,2,"S3589, S11735",High,Rail,0.74,61,Low
S3242,Supplier_3242,Delhi,Steel,9,6,4.9,8951,8.0,3,"S14584, S988",High,Air,0.78,39,Medium
S3243,Supplier_3243,Hyderabad,Bricks,16,5,3.5,3556,8.1,2,"S6095, S4234",High,Ship,0.78,39,Medium
S3244,Supplier_3244,Kolkata,Steel,28,3,5.0,3844,8.6,1,"S13167, S8258",Low,Ship,0.83,63,Medium
S3245,Supplier_3245,Kolkata,Concrete,21,0,4.5,5898,6.4,0,"S9020, S5686",Medium,Ship,0.76,86,High
S3246,Supplier_3246,Delhi,Bricks,27,9,3.1,7704,7.6,1,"S13602, S485",High,Road,0.93,38,Medium
S3247,Supplier_3247,Chennai,Wood,23,1,4.3,3313,5.9,2,"S10214, S9990",Medium,Air,0.77,63,High
S3248,Supplier_3248,Hyderabad,Wood,16,4,3.3,7996,9.6,2,"S097, S11847",High,Road,0.91,75,High
S3249,Supplier_3249,Bangalore,Glass,8,5,5.0,4685,8.5,1,"S6933, S7182",Low,Rail,0.76,94,High
S3250,Supplier_3250,Mumbai,Glass,22,10,3.6,5543,8.2,0,"S5127, S8983",Low,Rail,0.83,45,Medium
S3251,Supplier_3251,Bangalore,Bricks,18,9,4.7,8758,9.7,0,"S3161, S6620",Medium,Ship,0.78,13,High
S3252,Supplier_3252,Bangalore,Glass,7,9,4.7,4858,7.2,1,"S5641, S10722",High,Ship,0.99,14,High
S3253,Supplier_3253,Kolkata,Concrete,30,7,3.7,8555,9.2,3,"S6884, S10915",Medium,Ship,0.81,85,Low
S3254,Supplier_3254,Mumbai,Glass,28,6,5.0,9665,6.7,0,"S8204, S12573",Medium,Air,0.85,37,High
S3255,Supplier_3255,Hyderabad,Steel,22,3,4.9,2475,7.8,2,"S8734, S2792",Low,Road,0.9,61,Low
S3256,Supplier_3256,Bangalore,Cement,9,3,3.2,3311,6.8,2,"S13568, S952",Low,Ship,0.72,65,Low
S3257,Supplier_3257,Bangalore,Bricks,11,0,4.3,6531,7.6,2,"S14602, S8257",Medium,Air,0.98,65,Medium
S3258,Supplier_3258,Mumbai,Bricks,14,7,4.2,9154,9.9,0,"S925, S8119",High,Road,0.71,93,Medium
S3259,Supplier_3259,Chennai,Concrete,7,2,4.4,6298,6.2,1,"S4980, S9204",Medium,Road,0.81,28,Low
S3260,Supplier_3260,Mumbai,Cement,9,10,3.3,9385,5.8,1,"S1289, S7993",High,Ship,0.9,22,Low
S3261,Supplier_3261,Delhi,Cement,25,8,3.6,4884,5.4,1,"S13210, S12098",Low,Air,0.91,60,Low
S3262,Supplier_3262,Hyderabad,Bricks,24,1,3.8,7200,8.7,3,"S4937, S3292",Low,Air,0.79,40,Medium
S3263,Supplier_3263,Chennai,Glass,5,9,3.1,8907,7.3,2,"S8699, S5348",Medium,Road,1.0,12,High
S3264,Supplier_3264,Mumbai,Bricks,24,5,4.1,2100,7.9,2,"S12319, S6836",Medium,Ship,0.74,77,High
S3265,Supplier_3265,Bangalore,Concrete,22,0,4.3,8427,7.6,1,"S4710, S3108",Medium,Ship,0.75,53,Low
S3266,Supplier_3266,Mumbai,Wood,10,8,4.4,7760,5.7,3,"S6449, S9313",Low,Air,0.98,42,Medium
S3267,Supplier_3267,Bangalore,Concrete,11,7,4.8,6031,5.3,2,"S3829, S3622",High,Ship,0.92,43,High
S3268,Supplier_3268,Delhi,Steel,28,8,3.7,4294,9.9,0,"S4092, S2307",Low,Road,0.94,47,High
S3269,Supplier_3269,Mumbai,Steel,5,3,4.8,5442,7.7,1,"S11704, S1352",Low,Road,0.88,22,Medium
S3270,Supplier_3270,Chennai,Glass,27,4,4.9,5485,6.3,3,"S1937, S1743",High,Road,0.92,45,High
S3271,Supplier_3271,Bangalore,Wood,26,1,4.2,8600,8.3,0,"S14221, S7466",Medium,Rail,0.81,28,Medium
S3272,Supplier_3272,Mumbai,Glass,8,10,3.1,5536,7.6,1,"S1304, S1919",High,Road,0.96,69,Low
S3273,Supplier_3273,Kolkata,Wood,24,2,3.9,6231,6.4,0,"S9200, S4461",Low,Road,0.79,95,High
S3274,Supplier_3274,Delhi,Bricks,10,6,4.5,8159,6.1,2,"S12386, S8487",Low,Air,0.94,91,Low
S3275,Supplier_3275,Mumbai,Glass,19,3,4.6,5834,7.5,2,"S6558, S3201",High,Rail,0.93,28,High
S3276,Supplier_3276,Bangalore,Wood,8,10,3.8,3447,8.3,1,"S2201, S936",Medium,Air,0.88,71,Low
S3277,Supplier_3277,Kolkata,Steel,21,8,3.6,6079,8.3,2,"S14443, S9666",Low,Ship,0.88,50,High
S3278,Supplier_3278,Chennai,Bricks,19,3,3.0,5145,7.9,2,"S13554, S12231",High,Ship,0.93,46,Medium
S3279,Supplier_3279,Chennai,Bricks,19,6,3.1,3308,5.8,2,"S8724, S6548",High,Rail,0.85,98,Low
S3280,Supplier_3280,Kolkata,Concrete,28,8,3.5,7098,5.6,2,"S2670, S8572",Low,Road,0.83,38,Medium
S3281,Supplier_3281,Bangalore,Cement,6,2,4.3,5558,6.3,1,"S10771, S6617",Low,Rail,0.75,72,High
S3282,Supplier_3282,Chennai,Wood,8,5,3.2,6633,7.2,3,"S5916, S7078",Medium,Ship,0.86,28,Low
S3283,Supplier_3283,Hyderabad,Bricks,25,6,4.1,4356,5.8,0,"S6903, S11643",High,Air,0.71,14,Low
S3284,Supplier_3284,Delhi,Bricks,15,9,3.6,2457,9.6,0,"S1268, S12740",Medium,Ship,0.93,80,High
S3285,Supplier_3285,Delhi,Cement,19,8,3.2,6285,7.5,2,"S12825, S4253",Low,Ship,0.96,95,High
S3286,Supplier_3286,Bangalore,Glass,21,8,3.5,7065,5.9,1,"S2513, S103",Medium,Road,0.82,72,Low
S3287,Supplier_3287,Delhi,Bricks,17,2,4.4,2904,8.5,0,"S5002, S12544",High,Air,0.84,48,Low
S3288,Supplier_3288,Chennai,Concrete,22,3,3.7,8874,6.9,0,"S4706, S12933",High,Road,0.74,20,High
S3289,Supplier_3289,Delhi,Wood,8,2,4.2,7569,6.4,1,"S8491, S2978",Medium,Rail,0.74,12,Medium
S3290,Supplier_3290,Mumbai,Cement,24,4,4.6,4536,8.5,3,"S10275, S5161",Low,Rail,0.76,62,High
S3291,Supplier_3291,Hyderabad,Bricks,6,10,3.2,8622,8.0,2,"S4928, S12017",High,Rail,0.8,55,Low
S3292,Supplier_3292,Hyderabad,Concrete,23,2,4.9,6253,7.9,2,"S10290, S10295",Medium,Rail,0.92,54,Low
S3293,Supplier_3293,Hyderabad,Concrete,17,5,4.5,6454,5.4,0,"S11512, S1967",High,Air,0.78,24,High
S3294,Supplier_3294,Bangalore,Wood,11,2,4.6,8156,7.9,2,"S9697, S6138",Medium,Ship,0.9,57,Low
S3295,Supplier_3295,Hyderabad,Cement,23,6,4.5,9070,8.6,3,"S7861, S14309",Low,Air,0.95,26,Medium
S3296,Supplier_3296,Mumbai,Steel,19,1,3.4,8157,7.0,3,"S14821, S5045",Low,Ship,0.99,14,Low
S3297,Supplier_3297,Mumbai,Wood,17,10,5.0,9758,6.1,2,"S1992, S14004",Low,Air,0.72,93,Medium
S3298,Supplier_3298,Hyderabad,Cement,12,1,4.4,3756,5.4,1,"S1103, S5440",High,Rail,0.82,55,Medium
S3299,Supplier_3299,Hyderabad,Wood,26,9,4.4,3008,6.9,1,"S1691, S1037",Medium,Air,0.99,71,Medium
S3300,Supplier_3300,Bangalore,Concrete,20,8,4.6,6084,6.6,3,"S11965, S10561",Low,Air,0.99,95,High
S3301,Supplier_3301,Chennai,Wood,8,9,4.7,8771,5.8,0,"S7777, S8316",High,Road,0.91,30,Medium
S3302,Supplier_3302,Hyderabad,Glass,6,8,4.2,6576,8.1,3,"S1335, S977",High,Rail,0.92,76,High
S3303,Supplier_3303,Hyderabad,Wood,9,10,3.3,8190,5.3,2,"S7956, S4923",Medium,Rail,0.99,32,High
S3304,Supplier_3304,Chennai,Steel,7,3,3.2,5050,9.2,3,"S10670, S7495",Low,Ship,0.84,49,Medium
S3305,Supplier_3305,Kolkata,Cement,28,10,3.5,5400,9.9,3,"S11366, S9502",Low,Ship,0.8,40,High
S3306,Supplier_3306,Mumbai,Steel,29,3,4.5,3033,8.8,2,"S3064, S1179",Low,Rail,0.94,51,Medium
S3307,Supplier_3307,Mumbai,Cement,13,8,4.4,7797,7.0,2,"S8690, S12641",Low,Air,0.85,47,Medium
S3308,Supplier_3308,Hyderabad,Concrete,6,7,4.1,9524,6.9,0,"S3443, S12214",Medium,Air,0.98,14,Medium
S3309,Supplier_3309,Kolkata,Concrete,19,4,3.8,9745,7.0,2,"S7196, S2139",Low,Rail,0.74,79,Low
S3310,Supplier_3310,Delhi,Bricks,22,1,3.1,4086,8.8,0,"S469, S8994",Low,Rail,0.86,71,High
S3311,Supplier_3311,Chennai,Bricks,25,10,4.6,9478,7.4,0,"S13252, S6256",Low,Rail,0.99,92,Low
S3312,Supplier_3312,Kolkata,Concrete,30,0,3.4,9573,5.4,3,"S2831, S12628",High,Ship,0.96,72,Medium
S3313,Supplier_3313,Delhi,Cement,28,10,3.8,5683,5.9,2,"S12408, S9693",Low,Rail,0.86,61,High
S3314,Supplier_3314,Chennai,Steel,9,3,4.6,6525,7.9,1,"S4032, S7470",Low,Ship,0.91,50,High
S3315,Supplier_3315,Mumbai,Concrete,23,4,4.6,8001,6.4,1,"S1309, S2290",Low,Rail,0.73,18,High
S3316,Supplier_3316,Kolkata,Wood,29,3,3.7,4607,7.7,1,"S1838, S5315",High,Air,0.91,57,Low
S3317,Supplier_3317,Hyderabad,Concrete,7,7,4.2,2851,7.7,1,"S7097, S10946",Low,Road,0.97,75,High
S3318,Supplier_3318,Kolkata,Concrete,17,6,3.7,6681,7.7,1,"S6852, S12378",Low,Rail,0.72,100,Low
S3319,Supplier_3319,Bangalore,Wood,13,3,4.9,5044,5.8,0,"S14265, S2500",Low,Air,0.94,36,Low
S3320,Supplier_3320,Mumbai,Glass,25,7,5.0,6270,9.3,2,"S13100, S7258",Medium,Ship,0.87,58,Medium
S3321,Supplier_3321,Chennai,Glass,30,1,3.6,9027,7.0,2,"S11842, S6616",Medium,Rail,0.94,69,High
S3322,Supplier_3322,Mumbai,Concrete,15,8,3.8,4426,9.8,2,"S3096, S4917",High,Ship,0.93,48,Medium
S3323,Supplier_3323,Delhi,Wood,25,1,3.9,7372,10.0,2,"S8887, S10406",Medium,Rail,0.75,17,Low
S3324,Supplier_3324,Bangalore,Bricks,22,5,4.2,5570,9.0,3,"S14237, S3594",Medium,Air,0.99,71,Medium
S3325,Supplier_3325,Bangalore,Glass,9,9,3.2,8042,7.7,0,"S9441, S13600",Low,Rail,0.98,86,High
S3326,Supplier_3326,Bangalore,Steel,23,9,4.0,6355,7.9,1,"S373, S8191",Medium,Road,0.89,24,High
S3327,Supplier_3327,Hyderabad,Steel,27,4,4.1,7331,5.2,3,"S4751, S11789",Low,Road,0.89,51,Medium
S3328,Supplier_3328,Hyderabad,Cement,18,5,3.4,3939,8.3,2,"S4305, S12866",Low,Rail,0.83,61,Medium
S3329,Supplier_3329,Delhi,Cement,6,10,4.0,6374,9.8,3,"S5520, S5634",High,Road,0.89,17,High
S3330,Supplier_3330,Delhi,Bricks,14,5,4.9,6560,8.3,2,"S10055, S10755",Low,Ship,0.72,93,High
S3331,Supplier_3331,Bangalore,Cement,13,4,4.9,5173,8.8,0,"S5230, S5090",High,Road,0.82,79,High
S3332,Supplier_3332,Chennai,Glass,16,5,4.5,4629,6.9,1,"S8288, S6274",Low,Ship,0.85,26,Medium
S3333,Supplier_3333,Hyderabad,Wood,23,6,3.3,3793,6.6,0,"S8491, S412",Medium,Rail,0.71,97,Low
S3334,Supplier_3334,Mumbai,Wood,24,3,3.7,6881,7.0,1,"S9452, S8498",Low,Rail,0.92,34,Low
S3335,Supplier_3335,Kolkata,Steel,23,8,4.3,9878,9.6,1,"S11168, S14212",Low,Rail,0.75,90,Low
S3336,Supplier_3336,Kolkata,Wood,16,7,4.5,9643,5.0,0,"S8545, S5865",Medium,Road,0.81,95,Low
S3337,Supplier_3337,Bangalore,Wood,24,2,3.4,5561,9.1,2,"S1864, S5134",Medium,Ship,0.93,74,Low
S3338,Supplier_3338,Bangalore,Wood,11,5,4.0,3857,8.7,0,"S8113, S7879",High,Air,0.81,52,Medium
S3339,Supplier_3339,Kolkata,Glass,16,4,3.4,8736,9.3,0,"S13585, S8958",Medium,Rail,0.84,53,Low
S3340,Supplier_3340,Mumbai,Steel,12,7,3.5,8254,5.3,2,"S2684, S11480",Low,Road,0.81,92,Medium
S3341,Supplier_3341,Hyderabad,Bricks,27,4,3.2,4244,7.7,0,"S6130, S12652",Medium,Air,0.83,11,High
S3342,Supplier_3342,Kolkata,Bricks,12,0,4.0,9522,8.6,1,"S4900, S1276",Low,Rail,0.79,62,High
S3343,Supplier_3343,Chennai,Glass,8,3,3.8,4301,5.7,0,"S6813, S1813",Low,Ship,0.86,71,Medium
S3344,Supplier_3344,Bangalore,Steel,18,7,4.2,6529,8.1,1,"S12702, S13005",Low,Road,0.94,59,High
S3345,Supplier_3345,Hyderabad,Concrete,13,3,4.1,3185,8.8,3,"S5159, S10970",Medium,Ship,0.83,97,Medium
S3346,Supplier_3346,Mumbai,Concrete,22,0,4.7,9482,8.7,1,"S5945, S5520",High,Rail,0.73,98,Medium
S3347,Supplier_3347,Hyderabad,Concrete,15,0,4.6,2261,6.7,3,"S2073, S10351",Low,Air,0.88,14,High
S3348,Supplier_3348,Kolkata,Cement,5,1,4.4,2393,5.2,1,"S456, S13252",Medium,Ship,0.77,58,High
S3349,Supplier_3349,Mumbai,Glass,12,10,4.0,3793,6.3,3,"S410, S6176",Medium,Air,0.71,25,High
S3350,Supplier_3350,Bangalore,Bricks,27,0,4.6,8926,8.7,3,"S12985, S8410",Medium,Road,0.79,45,Medium
S3351,Supplier_3351,Kolkata,Bricks,10,0,3.3,4000,9.4,1,"S8973, S637",Medium,Ship,0.97,28,High
S3352,Supplier_3352,Hyderabad,Concrete,29,6,4.1,7973,5.7,3,"S13850, S13541",High,Ship,0.77,18,High
S3353,Supplier_3353,Delhi,Concrete,19,10,3.2,6116,9.6,2,"S1080, S10508",Medium,Air,0.84,76,High
S3354,Supplier_3354,Chennai,Steel,30,5,5.0,7482,9.4,1,"S9720, S5507",Medium,Rail,0.89,78,Medium
S3355,Supplier_3355,Kolkata,Bricks,27,7,4.9,3214,5.4,3,"S9982, S3168",Low,Air,0.78,50,Medium
S3356,Supplier_3356,Hyderabad,Glass,24,3,4.7,2250,8.6,0,"S2615, S9786",High,Rail,0.99,55,Low
S3357,Supplier_3357,Kolkata,Cement,23,2,3.6,5520,10.0,3,"S9835, S6365",Low,Air,0.97,94,High
S3358,Supplier_3358,Mumbai,Glass,20,9,4.1,5519,5.8,3,"S8363, S4271",High,Road,0.86,58,Low
S3359,Supplier_3359,Bangalore,Steel,23,7,4.1,6800,5.4,2,"S860, S11404",Medium,Road,0.89,84,High
S3360,Supplier_3360,Chennai,Concrete,22,8,4.0,4787,8.7,1,"S5295, S5721",Medium,Road,0.71,38,Medium
S3361,Supplier_3361,Delhi,Bricks,6,9,3.7,2632,9.7,2,"S10815, S1455",Low,Road,0.76,72,High
S3362,Supplier_3362,Delhi,Concrete,19,2,3.6,6882,9.4,1,"S11649, S766",High,Air,0.74,97,Low
S3363,Supplier_3363,Bangalore,Glass,24,7,4.8,5527,6.1,1,"S791, S1688",Low,Ship,0.97,52,Medium
S3364,Supplier_3364,Bangalore,Cement,29,9,4.3,3326,8.3,3,"S5989, S794",Low,Air,0.94,49,High
S3365,Supplier_3365,Bangalore,Steel,18,4,3.5,4273,9.4,3,"S9637, S3028",Medium,Ship,0.92,19,Low
S3366,Supplier_3366,Bangalore,Concrete,9,1,3.3,5054,7.1,0,"S3234, S1864",High,Ship,0.7,47,Low
S3367,Supplier_3367,Hyderabad,Glass,25,3,3.9,6571,6.0,0,"S468, S11136",Low,Ship,0.77,72,Medium
S3368,Supplier_3368,Hyderabad,Concrete,19,9,4.8,7681,5.9,3,"S11782, S8905",Medium,Ship,0.76,22,Medium
S3369,Supplier_3369,Delhi,Steel,24,9,4.3,4422,7.8,2,"S6191, S4921",Low,Air,0.85,66,High
S3370,Supplier_3370,Hyderabad,Glass,12,8,3.2,9281,8.5,0,"S9994, S10347",Medium,Road,0.8,39,Medium
S3371,Supplier_3371,Chennai,Bricks,5,3,4.5,6934,5.2,3,"S10342, S4069",Low,Rail,0.95,46,High
S3372,Supplier_3372,Hyderabad,Cement,26,5,4.2,8868,7.9,0,"S10491, S13189",Low,Ship,0.9,63,Medium
S3373,Supplier_3373,Hyderabad,Wood,30,1,3.9,9894,6.2,3,"S11223, S7219",High,Road,0.98,43,Medium
S3374,Supplier_3374,Mumbai,Steel,12,8,4.3,4238,8.9,3,"S9733, S446",High,Air,0.88,49,Medium
S3375,Supplier_3375,Hyderabad,Steel,13,3,4.0,6222,7.0,2,"S7937, S8526",Medium,Ship,0.72,63,Medium
S3376,Supplier_3376,Kolkata,Bricks,12,2,4.2,9896,6.0,1,"S1990, S4665",Medium,Rail,0.75,32,Low
S3377,Supplier_3377,Hyderabad,Glass,23,3,4.2,4027,5.7,3,"S7263, S6756",Low,Ship,0.89,64,High
S3378,Supplier_3378,Kolkata,Bricks,11,4,3.9,7767,5.1,0,"S10610, S784",Low,Ship,0.89,50,High
S3379,Supplier_3379,Kolkata,Wood,23,2,4.2,3025,5.4,3,"S1445, S6957",High,Road,0.89,12,Medium
S3380,Supplier_3380,Bangalore,Concrete,25,1,3.3,9001,6.2,3,"S13612, S8803",Medium,Rail,0.77,78,Low
S3381,Supplier_3381,Hyderabad,Concrete,29,9,5.0,7060,5.6,0,"S13502, S3935",Medium,Air,0.74,56,Medium
S3382,Supplier_3382,Bangalore,Concrete,30,0,3.5,5368,9.0,1,"S13554, S1690",Medium,Air,0.93,57,High
S3383,Supplier_3383,Bangalore,Wood,30,3,3.8,4319,8.9,1,"S3993, S4072",Low,Air,1.0,53,Medium
S3384,Supplier_3384,Kolkata,Steel,28,4,4.2,3620,9.5,3,"S9076, S12863",Medium,Rail,0.92,32,High
S3385,Supplier_3385,Bangalore,Bricks,11,8,4.5,6125,8.2,2,"S14419, S14223",Medium,Rail,0.92,98,Medium
S3386,Supplier_3386,Mumbai,Bricks,16,3,3.5,7061,6.1,3,"S13142, S994",Medium,Rail,0.85,20,High
S3387,Supplier_3387,Bangalore,Glass,7,9,3.4,6744,8.0,2,"S978, S4278",Low,Rail,0.86,72,Medium
S3388,Supplier_3388,Chennai,Steel,11,9,4.6,3748,8.3,2,"S7059, S8096",Low,Air,0.79,47,Medium
S3389,Supplier_3389,Chennai,Concrete,7,2,3.1,5616,5.0,2,"S5097, S4321",Medium,Air,0.86,97,Low
S3390,Supplier_3390,Bangalore,Bricks,5,2,4.1,8132,5.7,0,"S13874, S3584",High,Road,0.9,65,Medium
S3391,Supplier_3391,Delhi,Glass,5,9,3.1,7347,7.3,3,"S3414, S8973",Low,Road,0.86,85,High
S3392,Supplier_3392,Chennai,Glass,14,6,3.6,5642,7.6,2,"S6931, S6279",Low,Road,0.86,38,High
S3393,Supplier_3393,Delhi,Wood,24,0,4.2,2912,5.7,0,"S9908, S15000",High,Rail,0.92,61,Medium
S3394,Supplier_3394,Delhi,Glass,5,5,4.7,7631,5.6,2,"S6716, S3863",Low,Ship,0.74,95,High
S3395,Supplier_3395,Kolkata,Concrete,30,1,3.3,2767,7.0,1,"S10763, S1014",Low,Rail,0.8,18,High
S3396,Supplier_3396,Hyderabad,Cement,6,4,3.3,7117,9.4,0,"S12470, S11055",Medium,Road,0.96,26,High
S3397,Supplier_3397,Hyderabad,Bricks,21,2,4.3,8745,7.2,0,"S4236, S8466",Low,Ship,0.71,41,Medium
S3398,Supplier_3398,Kolkata,Concrete,14,1,4.5,2080,5.8,2,"S265, S429",Low,Air,0.71,99,Low
S3399,Supplier_3399,Bangalore,Steel,30,1,3.2,5964,9.8,0,"S826, S14542",Medium,Rail,0.87,22,High
S3400,Supplier_3400,Chennai,Bricks,18,5,4.3,6261,6.7,2,"S4098, S1392",Low,Ship,0.88,64,Low
S3401,Supplier_3401,Delhi,Glass,29,8,3.0,7431,7.6,3,"S12267, S1533",High,Rail,0.81,89,Medium
S3402,Supplier_3402,Kolkata,Cement,28,6,4.6,7795,7.7,3,"S1999, S6104",High,Road,0.74,69,Low
S3403,Supplier_3403,Bangalore,Bricks,26,9,3.8,5802,9.5,2,"S14487, S2662",High,Ship,0.92,11,Low
S3404,Supplier_3404,Bangalore,Concrete,19,9,4.6,5372,5.3,0,"S6761, S11916",Low,Rail,0.84,38,High
S3405,Supplier_3405,Delhi,Cement,22,7,4.4,2259,6.9,0,"S6044, S7915",High,Rail,0.78,93,High
S3406,Supplier_3406,Chennai,Glass,8,7,3.3,9621,7.6,3,"S3503, S10002",Medium,Road,0.89,45,Low
S3407,Supplier_3407,Delhi,Bricks,23,10,3.9,9737,8.5,3,"S13191, S4790",High,Road,0.74,57,Low
S3408,Supplier_3408,Hyderabad,Concrete,18,7,3.4,5876,9.2,0,"S13700, S1497",Medium,Air,0.83,64,Medium
S3409,Supplier_3409,Mumbai,Concrete,20,7,4.7,9742,9.0,3,"S5781, S2091",High,Air,0.9,43,High
S3410,Supplier_3410,Hyderabad,Wood,13,3,3.6,2390,7.3,3,"S14495, S735",High,Rail,0.97,46,Low
S3411,Supplier_3411,Delhi,Wood,24,7,4.8,2873,6.1,0,"S4307, S4550",Medium,Rail,0.96,42,Medium
S3412,Supplier_3412,Kolkata,Bricks,5,3,3.1,6947,9.9,3,"S7617, S7746",Low,Rail,0.79,14,Medium
S3413,Supplier_3413,Bangalore,Steel,5,0,3.8,5054,8.9,1,"S2590, S11775",Low,Ship,0.92,43,High
S3414,Supplier_3414,Mumbai,Wood,17,10,3.6,5720,7.1,2,"S3343, S14470",High,Ship,0.74,51,High
S3415,Supplier_3415,Kolkata,Steel,12,0,3.9,4893,5.4,1,"S14177, S6978",High,Air,0.85,96,Medium
S3416,Supplier_3416,Kolkata,Cement,12,7,3.9,5244,7.2,0,"S967, S4743",Medium,Ship,0.89,82,Low
S3417,Supplier_3417,Mumbai,Concrete,30,0,4.7,6785,9.9,0,"S10991, S074",Low,Road,0.86,28,High
S3418,Supplier_3418,Chennai,Concrete,18,7,4.0,4459,9.0,3,"S4846, S5943",Medium,Ship,0.88,83,Medium
S3419,Supplier_3419,Chennai,Steel,21,3,4.8,7312,9.4,0,"S4491, S12256",Low,Air,0.8,14,High
S3420,Supplier_3420,Hyderabad,Wood,14,8,3.9,7638,6.1,1,"S11161, S2069",High,Ship,0.89,44,Medium
S3421,Supplier_3421,Delhi,Steel,29,3,3.6,3495,5.5,3,"S14315, S8015",High,Road,0.93,42,Low
S3422,Supplier_3422,Bangalore,Cement,5,4,4.7,6766,6.5,2,"S8160, S5376",High,Air,0.76,30,Medium
S3423,Supplier_3423,Hyderabad,Bricks,30,4,4.4,8750,8.3,1,"S13899, S084",Low,Ship,0.85,13,Low
S3424,Supplier_3424,Mumbai,Cement,22,8,4.2,5913,6.5,1,"S9454, S14073",High,Road,0.73,17,Medium
S3425,Supplier_3425,Kolkata,Concrete,13,0,3.6,7730,6.5,0,"S3398, S853",High,Road,0.75,61,Low
S3426,Supplier_3426,Hyderabad,Concrete,23,5,3.7,6823,7.7,1,"S12726, S6307",High,Air,0.78,97,High
S3427,Supplier_3427,Delhi,Glass,29,0,4.2,2158,9.5,2,"S4283, S12757",Medium,Rail,0.79,56,High
S3428,Supplier_3428,Delhi,Wood,7,3,3.6,2292,9.5,1,"S7052, S5649",Medium,Road,0.95,93,High
S3429,Supplier_3429,Kolkata,Steel,30,5,4.1,3802,7.0,3,"S14201, S3212",Low,Rail,0.95,77,Medium
S3430,Supplier_3430,Kolkata,Steel,20,1,4.4,2150,8.9,3,"S7062, S5232",High,Road,0.77,52,High
S3431,Supplier_3431,Mumbai,Glass,11,4,4.8,4290,5.8,2,"S1754, S10073",Medium,Air,0.85,76,High
S3432,Supplier_3432,Hyderabad,Bricks,13,0,3.8,4180,5.8,1,"S10433, S9097",High,Ship,0.93,83,High
S3433,Supplier_3433,Mumbai,Glass,8,5,3.3,7873,7.8,1,"S2181, S433",Low,Road,0.85,23,High
S3434,Supplier_3434,Delhi,Wood,5,1,4.2,9192,5.7,2,"S12683, S7711",Low,Rail,0.85,97,High
S3435,Supplier_3435,Bangalore,Glass,12,1,3.0,4174,8.3,1,"S3987, S3221",Low,Air,0.72,18,High
S3436,Supplier_3436,Kolkata,Concrete,11,5,3.8,8729,6.8,2,"S4378, S11599",Medium,Ship,0.74,32,Medium
S3437,Supplier_3437,Chennai,Cement,8,5,3.5,4085,8.6,1,"S690, S7464",High,Ship,0.7,74,Medium
S3438,Supplier_3438,Kolkata,Steel,5,8,3.1,8834,5.7,2,"S10132, S8940",Low,Road,0.81,89,Medium
S3439,Supplier_3439,Hyderabad,Glass,17,0,3.4,8828,5.7,3,"S14877, S5820",Low,Road,0.87,45,Medium
S3440,Supplier_3440,Hyderabad,Cement,27,3,3.6,7473,5.9,1,"S9003, S10971",Low,Road,0.75,33,High
S3441,Supplier_3441,Kolkata,Concrete,8,6,3.4,7883,6.7,0,"S6800, S6820",Low,Road,0.71,45,Medium
S3442,Supplier_3442,Delhi,Glass,18,1,3.5,2551,7.5,0,"S7342, S6163",Medium,Rail,0.74,68,Medium
S3443,Supplier_3443,Bangalore,Bricks,17,0,4.0,5740,9.6,1,"S9836, S12891",Low,Road,0.89,40,High
S3444,Supplier_3444,Delhi,Cement,8,4,4.1,3719,7.3,3,"S13384, S8335",Low,Rail,0.94,63,Low
S3445,Supplier_3445,Chennai,Concrete,14,2,4.8,8470,8.8,0,"S6723, S13269",High,Rail,0.74,18,Medium
S3446,Supplier_3446,Hyderabad,Concrete,16,2,4.9,2333,5.1,3,"S7099, S13956",Medium,Road,0.78,48,Medium
S3447,Supplier_3447,Delhi,Wood,25,2,4.9,2633,8.7,0,"S4079, S11550",High,Air,0.87,44,Low
S3448,Supplier_3448,Mumbai,Bricks,15,2,3.9,5113,9.4,3,"S1750, S3372",Medium,Air,1.0,18,Medium
S3449,Supplier_3449,Chennai,Steel,22,4,3.4,9071,7.4,2,"S12160, S4232",High,Road,0.75,86,Medium
S3450,Supplier_3450,Delhi,Cement,18,10,5.0,9207,8.0,0,"S9806, S7916",Low,Rail,0.71,37,Medium
S3451,Supplier_3451,Mumbai,Bricks,26,6,4.5,3829,7.7,1,"S14503, S12445",Low,Ship,0.94,67,Medium
S3452,Supplier_3452,Kolkata,Bricks,26,6,3.6,7769,7.6,3,"S5594, S10574",Low,Air,0.86,99,Medium
S3453,Supplier_3453,Delhi,Wood,23,1,3.8,9962,6.9,1,"S2133, S11393",Low,Rail,0.79,56,Medium
S3454,Supplier_3454,Hyderabad,Cement,19,1,4.3,4780,9.4,0,"S12847, S5198",Low,Ship,0.89,38,High
S3455,Supplier_3455,Chennai,Concrete,13,3,3.2,5889,9.0,2,"S2596, S4149",High,Ship,0.94,87,Medium
